gene1,gene2
ATF5,KLF13
ATF5,KLHL12
ATF5,KRTCAP2
ATF5,LIG3
ATF5,LOX
ATF5,LPP
ATF5,MCAM
ATF5,NEDD1
ATF5,NPM1
ATF5,NUDT3
ATF5,ONECUT2
ATF5,PCDH9
ATF5,PEX5
ATF5,PFDN6
ATF5,PHACTR3
ATF5,RAD51C
ATF5,RNF44
ATF5,RPS27
ATF5,RUSC1
ATF5,SAFB2
ATF5,SLC5A7
ATF5,SND1
ATF5,STAMBP
ATF5,TAF2
ATF5,TAPT1
ATF5,TSPYL1
ATF5,UCK2
ATF5,ZNF711
ATF5,ZNF746
ATF5,ZWILCH
ATP6V1F,CTCF
ATP6V1F,EGR2
ATP6V1F,EGR3
B4GALT3,ST3GAL3
BARD1,FEZ1
BARD1,TCERG1
BCL2L1,BAX
BCL2L1,CTCF
BDP1,POLR3F
BHMT,DMGDH
BMP5,BMPR1A
BMP8A,BMPR1A
BRAF,CTCF
BRAF,E2F1
BRCA2,BUB1B
BRCA2,CCNA2
BRCA2,CCNE1
BRCA2,CDK1
BRCA2,ESR1
BRCA2,FANCD2
BRCA2,FANCG
BRCA2,MYC
BRCA2,PLK1
BRCA2,RPA1
BRCA2,SEM1
BRD7,CTCF
BRD7,PAFAH1B3
BRD7,PTPN13
BRD7,RPLP1
BRD8,TRRAP
CAMK1,EGR2
CAMK1,EGR3
CAMK2B,EGR2
CAMK2B,EGR3
CAT,EGR1
CAT,EGR3
CAT,NFE2L2
CAT,NFYA
CCDC6,CTCF
CCNA2,E2F1
CCNA2,ESR1
CCNA2,ETS2
CCNA2,MYC
CCNA2,UBTF
CCNB1,E2F1
CCNB1,FOXM1
CCNB2,ANAPC11
CCNB2,ANAPC5
CCNB2,ANAPC7
CCNB2,MCM2
CCNB2,NFYA
CCND1,CREB3L2
CCND1,E2F1
CCND1,ELAVL1
CCND1,ETS2
CCND1,GSK3B
CCND1,NELFCD
CCND1,NPM1
CCND1,RFC1
CCNE1,EGR2
CCNE1,EGR3
CCNE1,EZH2
CCNE1,SMARCA4
CCNE1,SMARCD3
CCNE1,TCF19
CD14,TLR4
CDC20,FBXO5
CDC20,NFYC
CDC20,PTTG1
CDC23,NFYC
CDC23,PTTG1
CDC25B,FOXM1
CDC25C,PPP1CC
CDC45,E2F1
CDC45,MCM2
CDC45,MCM4
CDC45,MCM6
CDC6,CCNA2
CDC6,E2F1
CDC6,FOXM1
CDC6,MCM2
CDC6,NFYA
CDK1,CCNB1
CDK1,CDC25C
CDK1,E2F1
CDK1,ETS2
CDK1,FOXM1
CDK1,MCM4
CDK1,MDM4
CDK1,NPM1
CDK1,PTTG1
CDK6,CTNNB1
CDK6,EGR1
CDK6,MCM2
CDK7,E2F1
CDK7,ERCC3
CDK7,ESR1
CDKN1A,CCNA2
CDKN1A,E2F1
CDKN1A,ESR1
CDKN1A,ETS2
CDKN1A,FUBP1
CDKN1A,NELFCD
CDKN1A,NPM1
CDKN1A,SMAD2
CDKN1A,TAF5
CDKN1A,TSG101
CDKN2A,EZH2
CDKN2A,FOXM1
CDKN2A,MCM5
CDKN2C,E2F1
CDKN2C,EGR2
CDKN2C,EGR3
CDKN2C,RBBP5
CDKN2C,WDR5
CENPS,FANCI
CENPX,FANCI
CFI,C3
CITED2,LHX2
CKS1B,CTCF
CKS1B,NFYC
CKS1B,SKP2
CKS2,SKP2
CLEC4M,IL10
CLOCK,CSNK1D
CLOCK,CTCF
CNOT3,CAND1
CNOT3,CNOT1
CNOT4,CNOT1
CNOT4,UBE2D2
CREB3L2,EGR1
CSNK1A1,CTNNB1
CSNK1A1,EGR1
CSNK1A1,HMGB2
CSNK1A1,MDM4
CSNK1A1L,APC
CSNK2A1,BDP1
CSNK2A1,CUX2
CSNK2A1,HMGA1
CSNK2A1,MAZ
CSNK2A1,SSRP1
CTCF,ADAMTS1
CTCF,APOC3
CTCF,ATOH8
CTCF,C1QTNF1
CTCF,C6orf141
CTCF,CDCA5
CTCF,CENPM
CTCF,CEP135
CTCF,CIDEB
CTCF,CPNE3
CTCF,CRHBP
CTCF,CSPP1
CTCF,CXCL2
CTCF,DNM1L
CTCF,DPP8
CTCF,DSN1
CTCF,EBF1
CTCF,EDNRB
CTCF,FAM220A
CTCF,FASTK
CTCF,FREM2
CTCF,GABPB2
CTCF,GLUL
CTCF,GORASP2
CTCF,GPSM2
CTCF,HAAO
CTCF,IER2
CTCF,IL13RA2
CTCF,INTS10
CTCF,KPTN
CTCF,LOC286359
CTCF,MASP1
CTCF,MEPCE
CTCF,METTL1
CTCF,MTFR1
CTCF,NCBP2
CTCF,NDRG3
CTCF,NFYA
CTCF,NOL7
CTCF,NOM1
CTCF,NUP160
CTCF,NUP85
CTCF,NVL
CTCF,PLK4
CTCF,PLOD3
CTCF,POLG2
CTCF,POLR2J
CTCF,PTBP3
CTCF,PTGS2
CTCF,PTPRG
CTCF,RAB13
CTCF,RBM12
CTCF,RBM45
CTCF,RNF144A
CTCF,RPL7A
CTCF,RPS4X
CTCF,RPS5
CTCF,SATB2
CTCF,SHB
CTCF,SLC5A5
CTCF,SLC7A6
CTCF,SLCO2B1
CTCF,SLCO4C1
CTCF,SNRPD2
CTCF,SNRPE
CTCF,SPATA6L
CTCF,SUOX
CTCF,TCERG1
CTCF,TCHP
CTCF,TIGD1
CTCF,TTL
CTCF,UBE2A
CTCF,UBE2K
CTCF,VIPR1
CTCF,WDSUB1
CTCF,ZHX1
CTCF,ZNF3
CTCF,ZNF706
CTNNB1,BIRC5
CTNNB1,CSNK1D
CTNNB1,EGR1
CTNNB1,ESR1
CTNNB1,FYN
CTNNB1,NDRG1
CTNNB1,SMAD2
CTNNBL1,STAMBP
CYP1A2,CYP26A1
CYP1A2,CYP2C19
CYP1A2,CYP2J2
CYP1A2,GSTO2
CYP1A2,NAT2
CYP26A1,CYP2B6
CYP2A6,CYP2B6
CYP2A7,CYP26A1
CYP2C8,CYP26A1
CYP2C9,CYP26A1
CYP8B1,AKR1D1
CYP8B1,TP53
DACH1,UBE2I
DBF4,E2F1
DBF4,EGR1
DBF4,MCM2
DBF4,MCM6
DCN,NR1H4
DCTN2,EGR2
DCTN2,EGR3
DCTN2,TUBA1B
DCTN4,HSF2
DCTN4,TUBA1B
DDB2,CUL4A
DDB2,CUL4B
DDX20,DHX9
DDX20,GEMIN5
DDX20,SNRPD2
DDX20,SNRPE
DDX20,SNRPF
DGKQ,PLCD3
DGKZ,EGR3
DGKZ,PLCD3
DNAJC2,HSPA14
DNMT1,BIRC5
DNMT1,CBX1
DNMT1,EPCAM
DNMT1,NPM1
DNMT3A,CBX1
DNMT3A,EZH2
DNMT3A,SETDB1
DNMT3A,SUV39H1
DNMT3A,UBE2I
DR1,EGR1
DR1,NR2C2
DR1,POLE3
DR1,PTGS2
DTYMK,NFYA
DTYMK,TK1
DTYMK,TYMS
DUSP1,E2F1
DUSP1,NFE2L2
DUT,TK1
DVL1,BRD7
DVL1,FRAT1
DVL1,FRAT2
DVL1,NKD2
DVL2,FOSB
DVL2,FRAT1
DVL2,NKD2
DVL2,RNPS1
DVL3,FRAT1
DVL3,KAT7
DVL3,NKD2
DYNC1H1,TUBA1B
DYNC1I2,TUBA1B
DYNLL1,EGR2
DYNLL1,EGR3
DYNLL1,NRF1
DYNLL1,TUBA1B
DYNLL1,ZMYND11
E2F1,ANP32B
E2F1,APIP
E2F1,ARHGAP11A
E2F1,ARSJ
E2F1,AURKA
E2F1,AURKB
E2F1,BIRC5
E2F1,BRD7
E2F1,BROX
E2F1,CALM1
E2F1,CCDC6
E2F1,CCDC93
E2F1,CDK6
E2F1,CDT1
E2F1,CENPM
E2F1,CLTA
E2F1,CSE1L
E2F1,CSRNP1
E2F1,CTCF
E2F1,CTNNB1
E2F1,CYP2R1
E2F1,DCK
E2F1,DDB2
E2F1,DDX46
E2F1,DEK
E2F1,DENR
E2F1,DHX30
E2F1,DHX9
E2F1,DIRAS3
E2F1,DISP1
E2F1,DNMT1
E2F1,DOCK5
E2F1,DPCD
E2F1,ECT2
E2F1,EIF4A3
E2F1,ESR1
E2F1,FASTK
E2F1,FOXM1
E2F1,FZD10
E2F1,GCHFR
E2F1,GON4L
E2F1,HLTF
E2F1,IGF2
E2F1,IL10
E2F1,IL1B
E2F1,IRF3
E2F1,ITGB3BP
E2F1,KDM6A
E2F1,KIAA1143
E2F1,KIF4A
E2F1,LIG1
E2F1,LNPEP
E2F1,LPP
E2F1,LRRC4C
E2F1,LSM2
E2F1,MAP7
E2F1,MCM10
E2F1,MCM2
E2F1,MCM4
E2F1,MCM6
E2F1,MDM4
E2F1,MEFV
E2F1,MNAT1
E2F1,MT1G
E2F1,MYC
E2F1,NCBP2
E2F1,NDC80
E2F1,NKD2
E2F1,NPY1R
E2F1,NUP153
E2F1,OTUD7B
E2F1,PA2G4
E2F1,PBRM1
E2F1,PCBP2
E2F1,PEX5
E2F1,PHF20
E2F1,PRRC2C
E2F1,PTBP1
E2F1,PTBP3
E2F1,PXMP2
E2F1,RACGAP1
E2F1,RFC1
E2F1,RPL10A
E2F1,RPL15
E2F1,RPLP2
E2F1,RRM1
E2F1,SEPHS1
E2F1,SLC25A20
E2F1,SLC2A3
E2F1,SLC39A14
E2F1,SMC4
E2F1,SMYD2
E2F1,SORL1
E2F1,STIL
E2F1,TATDN2
E2F1,TBC1D13
E2F1,TERT
E2F1,THOC6
E2F1,TMEM53
E2F1,TP53BP2
E2F1,TRIM16
E2F1,TRIM24
E2F1,TUBA1B
E2F1,TUFT1
E2F1,UBAP2
E2F1,UBE2S
E2F1,UHRF1
E2F1,UNG
E2F1,WNT5A
E2F1,XPO1
E2F1,YEATS4
E2F2,ACSL1
E2F2,ACTR6
E2F2,AGBL5
E2F2,AP1S1
E2F2,APIP
E2F2,ARHGAP11A
E2F2,ARID1A
E2F2,ARID3B
E2F2,ARL6IP6
E2F2,ARSJ
E2F2,BAP1
E2F2,BMPR1B
E2F2,BROX
E2F2,C11orf54
E2F2,CA2
E2F2,CAPRIN1
E2F2,CBX1
E2F2,CCNE1
E2F2,CCNE2
E2F2,CCT3
E2F2,CDCA3
E2F2,CDCA7
E2F2,CENPM
E2F2,CHCHD7
E2F2,CHRDL1
E2F2,CLIC1
E2F2,CLK2
E2F2,CLTA
E2F2,CNOT10
E2F2,COPS6
E2F2,CSRNP1
E2F2,CYP2R1
E2F2,DCAF7
E2F2,DCTPP1
E2F2,DENR
E2F2,DHX30
E2F2,DHX9
E2F2,DPF2
E2F2,DTL
E2F2,EFCAB7
E2F2,EPM2A
E2F2,FARS2
E2F2,FBLN1
E2F2,GALNT11
E2F2,GCHFR
E2F2,GINS1
E2F2,GMNN
E2F2,GON4L
E2F2,GPAA1
E2F2,GPR158
E2F2,GTF3C2
E2F2,HAT1
E2F2,HMGB2
E2F2,KDM6A
E2F2,KIAA1143
E2F2,KLHDC3
E2F2,LBR
E2F2,LHX2
E2F2,LRRC4C
E2F2,MAPRE1
E2F2,MCM10
E2F2,MELK
E2F2,MEPCE
E2F2,METTL15
E2F2,METTL3
E2F2,MRPL24
E2F2,MRPL49
E2F2,MRTO4
E2F2,MSH3
E2F2,MSH6
E2F2,MYOZ3
E2F2,MZT1
E2F2,N4BP2L1
E2F2,NCBP2
E2F2,NEK2
E2F2,NIPBL
E2F2,NPY1R
E2F2,NR2C2AP
E2F2,NSF
E2F2,NSFL1C
E2F2,NUP153
E2F2,NUP155
E2F2,OAS2
E2F2,OTUD7B
E2F2,PABPC1
E2F2,PARD3
E2F2,PHYHIPL
E2F2,POLE2
E2F2,PPM1D
E2F2,PRR14L
E2F2,PRRC2C
E2F2,PTBP3
E2F2,PTGS2
E2F2,PTMA
E2F2,PTPRB
E2F2,PXMP2
E2F2,RANBP1
E2F2,RASSF4
E2F2,RBM22
E2F2,RBM28
E2F2,RDH16
E2F2,RHOBTB1
E2F2,RPL15
E2F2,RPL29
E2F2,RPS20
E2F2,RPS6KB1
E2F2,RUSC1
E2F2,SAP30L
E2F2,SENP1
E2F2,SERPINE1
E2F2,SETD2
E2F2,SHB
E2F2,SLC16A2
E2F2,SLC25A20
E2F2,SLC2A3
E2F2,SLC39A14
E2F2,SMARCE1
E2F2,SMC3
E2F2,SMC4
E2F2,SORL1
E2F2,SPRY2
E2F2,STAG1
E2F2,STK35
E2F2,STMN1
E2F2,STOML2
E2F2,SUV39H1
E2F2,SUZ12
E2F2,TACC3
E2F2,TCP1
E2F2,TMEM53
E2F2,TMPO
E2F2,TRMT12
E2F2,TRMT6
E2F2,TSPAN7
E2F2,TUFT1
E2F2,UBE2S
E2F2,UHRF1
E2F2,UNG
E2F2,USP1
E2F2,UTRN
E2F2,WNT5A
E2F2,WNT9A
E2F2,WRAP73
E2F2,XPO1
E2F4,AGBL5
E2F4,ANLN
E2F4,AP1S1
E2F4,APIP
E2F4,ARHGAP11A
E2F4,ARL6IP6
E2F4,ARSJ
E2F4,AURKB
E2F4,BAP1
E2F4,BIRC5
E2F4,BMPR1B
E2F4,BROX
E2F4,BUB3
E2F4,CA2
E2F4,CALM1
E2F4,CAPRIN1
E2F4,CBX1
E2F4,CCT3
E2F4,CDC37L1
E2F4,CDCA7
E2F4,CENPE
E2F4,CENPM
E2F4,CHCHD7
E2F4,CHRDL1
E2F4,CLIC1
E2F4,CLK2
E2F4,CLTA
E2F4,CNOT10
E2F4,COL4A1
E2F4,COPS6
E2F4,CSE1L
E2F4,CSRNP1
E2F4,CTH
E2F4,CYP2R1
E2F4,DCTPP1
E2F4,DENR
E2F4,DHX30
E2F4,DHX9
E2F4,DIRAS3
E2F4,DRG1
E2F4,DTL
E2F4,EFCAB7
E2F4,EIF4H
E2F4,F3
E2F4,FARS2
E2F4,FBLN1
E2F4,FEN1
E2F4,G6PD
E2F4,GALNT11
E2F4,GINS1
E2F4,GJB2
E2F4,GMNN
E2F4,GON4L
E2F4,GPAA1
E2F4,GPANK1
E2F4,GPR158
E2F4,GTF3C2
E2F4,HAT1
E2F4,HLTF
E2F4,HMMR
E2F4,ITGB3BP
E2F4,KDM6A
E2F4,KIAA1143
E2F4,KIF4A
E2F4,KLHDC3
E2F4,LHX2
E2F4,LRRC4C
E2F4,MAPRE1
E2F4,MCM10
E2F4,MCM8
E2F4,MELK
E2F4,MEPCE
E2F4,METTL15
E2F4,METTL3
E2F4,MKI67
E2F4,MRPL24
E2F4,MRPL49
E2F4,MRTO4
E2F4,MSH2
E2F4,MSH3
E2F4,MSH6
E2F4,MYOZ3
E2F4,MZT1
E2F4,N4BP2L1
E2F4,NCBP2
E2F4,NCL
E2F4,NDC80
E2F4,NEK2
E2F4,NIPBL
E2F4,NPY1R
E2F4,NR2C2AP
E2F4,NSF
E2F4,NSFL1C
E2F4,NUP153
E2F4,NUP155
E2F4,OTUD7B
E2F4,PABPC1
E2F4,PARD3
E2F4,PCLAF
E2F4,PHYHIPL
E2F4,PLK4
E2F4,PLSCR4
E2F4,POLD1
E2F4,POLE2
E2F4,PPIA
E2F4,PPM1D
E2F4,PRC1
E2F4,PRIM2
E2F4,PRR14L
E2F4,PRRC2C
E2F4,PTBP3
E2F4,PTGS2
E2F4,PTMA
E2F4,PTPRB
E2F4,PXMP2
E2F4,RABIF
E2F4,RANBP1
E2F4,RASSF4
E2F4,RBM22
E2F4,RBM28
E2F4,RFC3
E2F4,RFC4
E2F4,RHOBTB1
E2F4,RPL15
E2F4,RPL23A
E2F4,RPL29
E2F4,RPS20
E2F4,RPS4X
E2F4,RRM1
E2F4,RUSC1
E2F4,SAP30L
E2F4,SENP1
E2F4,SETD2
E2F4,SHB
E2F4,SLC16A2
E2F4,SLC25A20
E2F4,SLC39A14
E2F4,SMARCE1
E2F4,SMC2
E2F4,SMC3
E2F4,SMC4
E2F4,SORL1
E2F4,SPRY2
E2F4,STAG1
E2F4,STAM
E2F4,STK35
E2F4,STMN1
E2F4,STOML2
E2F4,SUPT4H1
E2F4,SUV39H1
E2F4,SUZ12
E2F4,TACC3
E2F4,TBL2
E2F4,TCP1
E2F4,TK1
E2F4,TMEM53
E2F4,TMPO
E2F4,TOP2A
E2F4,TOPBP1
E2F4,TRMT6
E2F4,TRRAP
E2F4,TSNAX
E2F4,TSPAN7
E2F4,TTK
E2F4,TUFT1
E2F4,UBE2S
E2F4,UNG
E2F4,WNT5A
E2F4,WNT9A
E2F4,WRAP73
E2F4,XPO1
E2F5,AGBL5
E2F5,AP1S1
E2F5,APIP
E2F5,ARHGAP11A
E2F5,ARID1A
E2F5,ARL6IP6
E2F5,ARSJ
E2F5,BAP1
E2F5,BMPR1B
E2F5,BROX
E2F5,CA2
E2F5,CAPRIN1
E2F5,CBX1
E2F5,CCT3
E2F5,CDCA7
E2F5,CENPM
E2F5,CHCHD7
E2F5,CHRDL1
E2F5,CLIC1
E2F5,CLK2
E2F5,CLTA
E2F5,CNOT10
E2F5,COPS6
E2F5,CSRNP1
E2F5,CYP2R1
E2F5,DCTPP1
E2F5,DENR
E2F5,DHX30
E2F5,DHX9
E2F5,DTL
E2F5,EFCAB7
E2F5,FARS2
E2F5,FBLN1
E2F5,GALNT11
E2F5,GINS1
E2F5,GMNN
E2F5,GON4L
E2F5,GPAA1
E2F5,GPR158
E2F5,GTF3C2
E2F5,HAT1
E2F5,HMGA1
E2F5,HMGB2
E2F5,KDM6A
E2F5,KIAA1143
E2F5,KLHDC3
E2F5,LHX2
E2F5,LOXL2
E2F5,LRRC4C
E2F5,MCM10
E2F5,MELK
E2F5,MEPCE
E2F5,METTL15
E2F5,METTL3
E2F5,MRPL24
E2F5,MRPL49
E2F5,MRTO4
E2F5,MSH3
E2F5,MSH6
E2F5,MYOZ3
E2F5,MZT1
E2F5,N4BP2L1
E2F5,NCBP2
E2F5,NIPBL
E2F5,NPY1R
E2F5,NR2C2AP
E2F5,NSF
E2F5,NSFL1C
E2F5,NUP153
E2F5,NUP155
E2F5,OTUD7B
E2F5,PABPC1
E2F5,PARD3
E2F5,PHYHIPL
E2F5,PPM1D
E2F5,PRR14L
E2F5,PRRC2C
E2F5,PTBP3
E2F5,PTMA
E2F5,PTPRB
E2F5,PXMP2
E2F5,RANBP1
E2F5,RASSF4
E2F5,RBM22
E2F5,RBM28
E2F5,RHOBTB1
E2F5,RPL15
E2F5,RPL29
E2F5,RPS20
E2F5,RUSC1
E2F5,SAP30L
E2F5,SENP1
E2F5,SETD2
E2F5,SHB
E2F5,SLC16A2
E2F5,SLC25A20
E2F5,SLC39A14
E2F5,SMARCE1
E2F5,SMC3
E2F5,SMC4
E2F5,SORL1
E2F5,SPRY2
E2F5,STAG1
E2F5,STK35
E2F5,STMN1
E2F5,STOML2
E2F5,SUV39H1
E2F5,TACC3
E2F5,TCP1
E2F5,TMEM53
E2F5,TMPO
E2F5,TRMT6
E2F5,TSPAN7
E2F5,TUFT1
E2F5,UBE2S
E2F5,UHRF1
E2F5,UNG
E2F5,WNT5A
E2F5,WNT9A
E2F5,WRAP73
E2F5,XPO1
EBF1,ANGPTL6
EBF1,CD300A
EBF1,CENPM
EBF1,DENND4B
EBF1,EGR1
EBF1,FCGR2B
EBF1,GALNT10
EBF1,GLUL
EBF1,LIX1L
EBF1,LNPEP
EBF1,RCAN1
EBF1,RPL38
EBF1,SOWAHA
EBF1,ZNF143
EBF1,ZNF605
ECHS1,ACADM
ECHS1,IVD
EGFR,ATP6AP1
EGFR,ATP6V1C2
EGFR,ATP6V1F
EGFR,ATP6V1H
EGFR,CTNNB1
EGFR,E2F1
EGFR,ESR1
EGFR,FGF23
EGFR,MAPK1
EGFR,PIK3CA
EGFR,PLCB1
EGFR,PLCB2
EGFR,TP53
EGFR,TSG101
EGR1,ACADM
EGR1,ARHGEF11
EGR1,ARID3B
EGR1,ARID4B
EGR1,CALM1
EGR1,CEP63
EGR1,CH25H
EGR1,CHCHD1
EGR1,CLK2
EGR1,CNOT3
EGR1,CNOT4
EGR1,COPS7A
EGR1,CPN2
EGR1,CSRNP1
EGR1,DENR
EGR1,DHX30
EGR1,DHX35
EGR1,DNAH14
EGR1,DNAJC2
EGR1,DNALI1
EGR1,DONSON
EGR1,EGR3
EGR1,EIF4A3
EGR1,EP400
EGR1,FAM168A
EGR1,FASTKD3
EGR1,FIGNL1
EGR1,FOXK1
EGR1,FOXM1
EGR1,HMGCL
EGR1,IER2
EGR1,ILF3
EGR1,INTS10
EGR1,IQSEC1
EGR1,ITGB3BP
EGR1,JRKL
EGR1,KBTBD4
EGR1,KIF2A
EGR1,LONP2
EGR1,LY6E
EGR1,MASTL
EGR1,MEA1
EGR1,MEPCE
EGR1,METTL5
EGR1,MRPL34
EGR1,NFRKB
EGR1,NFYA
EGR1,NME1
EGR1,NOM1
EGR1,NRF1
EGR1,OGDHL
EGR1,OTUD7B
EGR1,PAPOLA
EGR1,PCBP2
EGR1,PFDN2
EGR1,PHIP
EGR1,PLOD3
EGR1,POLD1
EGR1,PTBP3
EGR1,PUF60
EGR1,RAD51C
EGR1,RCAN1
EGR1,RNF144A
EGR1,RUFY1
EGR1,SATB2
EGR1,SCGB3A1
EGR1,SET
EGR1,SLC36A1
EGR1,SLC39A10
EGR1,SLC5A5
EGR1,SLCO4C1
EGR1,SNX12
EGR1,STK39
EGR1,TBC1D13
EGR1,TCFL5
EGR1,TCP1
EGR1,TF
EGR1,TFPI2
EGR1,THOC6
EGR1,TIGD1
EGR1,TPMT
EGR1,TRIM10
EGR1,TRIM15
EGR1,TTL
EGR1,TUBA1B
EGR1,UBE2S
EGR1,UBTF
EGR1,UBXN2B
EGR1,USH1G
EGR1,USP22
EGR1,USP31
EGR1,WDHD1
EGR1,XPO5
EGR1,XPOT
EGR1,XPR1
EGR1,YTHDF3
EGR1,ZBTB41
EGR1,ZNF280C
EGR1,ZNF3
EGR1,ZNF322
EGR2,AGAP1
EGR2,AGAP3
EGR2,ANKH
EGR2,AP1S1
EGR2,ARID4B
EGR2,BROX
EGR2,C12orf75
EGR2,CCDC124
EGR2,CDYL
EGR2,CEP70
EGR2,CKAP5
EGR2,COLEC12
EGR2,CSNK1G1
EGR2,CYP39A1
EGR2,DDX20
EGR2,EIF3B
EGR2,ERGIC3
EGR2,F3
EGR2,FAM83H
EGR2,FAS
EGR2,KCNN2
EGR2,KIF2C
EGR2,LRRC42
EGR2,LSM2
EGR2,MASTL
EGR2,MATR3
EGR2,MAZ
EGR2,MID1
EGR2,MORC2
EGR2,MRPL34
EGR2,MTCH1
EGR2,NDUFA4L2
EGR2,NKIRAS2
EGR2,NTN4
EGR2,PABPC1
EGR2,PABPC4
EGR2,PAFAH1B3
EGR2,PGP
EGR2,PPOX
EGR2,PRKAR2B
EGR2,PRPF3
EGR2,PRR14L
EGR2,PTGS2
EGR2,PTPN3
EGR2,RBBP7
EGR2,RNASEH2A
EGR2,SF3B4
EGR2,SFT2D2
EGR2,SLC25A39
EGR2,SOCS2
EGR2,SORT1
EGR2,SPNS1
EGR2,STAMBP
EGR2,TDRKH
EGR2,THOC6
EGR2,TLCD1
EGR2,TRMT112
EGR2,UBE2Z
EGR2,USP1
EGR2,XPR1
EGR2,ZSWIM6
EGR3,AGAP1
EGR3,AGAP3
EGR3,AHCTF1
EGR3,AP1S1
EGR3,ARID4B
EGR3,BROX
EGR3,C12orf75
EGR3,CALM1
EGR3,CAMSAP2
EGR3,CCDC124
EGR3,CDYL
EGR3,CEP70
EGR3,CHKA
EGR3,CKAP5
EGR3,COLEC12
EGR3,CSNK1G1
EGR3,CYP39A1
EGR3,DCAF11
EGR3,DNAJC14
EGR3,ERGIC3
EGR3,EZH1
EGR3,FAM20B
EGR3,FKBP1A
EGR3,FOSB
EGR3,FREM2
EGR3,FSD1L
EGR3,HNRNPL
EGR3,HNRNPU
EGR3,IFFO1
EGR3,KCNN2
EGR3,KDM5B
EGR3,KIF2C
EGR3,LRRC42
EGR3,LSM2
EGR3,LYVE1
EGR3,MASTL
EGR3,MATR3
EGR3,MAZ
EGR3,MID1
EGR3,MLLT6
EGR3,MORC2
EGR3,MRPL34
EGR3,MTCH1
EGR3,NDUFA4L2
EGR3,NKIRAS2
EGR3,NR2C2
EGR3,NSF
EGR3,NTN4
EGR3,PABPC1
EGR3,PAFAH1B3
EGR3,PGP
EGR3,PITPNM3
EGR3,PPOX
EGR3,PRKAR2B
EGR3,PRPF3
EGR3,PRR14L
EGR3,PTPN3
EGR3,PURA
EGR3,RANBP1
EGR3,RNASEH2A
EGR3,SF3B4
EGR3,SFT2D2
EGR3,SNX27
EGR3,SNX30
