"","eHCC-1","eHCC-2","eHCC-3","eHCC-4","eHCC-5","eHCC-6","eHCC-7","eHCC-8","eHCC-9","eHCC-10","eHCC-11","eHCC-12","eHCC-13","eHCC-14"
"AACS",6.07229641,6.155847409,6.541618763,5.84733846,6.661281402,6.313885986,6.629038003,6.417123629,6.815448011,5.915935356,5.928943548,6.394505525,5.991099534,6.423768355
"AADAC",11.8012701,11.77795741,11.63275899,11.66277881,11.57168199,10.47027852,11.90212914,11.54186229,11.96658374,11.91537009,11.57875916,11.53977989,12.04036229,10.88871118
"AADAT",9.630010079,9.148255925,8.935841403,8.624471478,9.616632873,9.91752541,6.954381264,9.180548503,7.656963915,8.72534423,8.458590754,7.54436353,8.807890282,6.903947892
"AARS2",8.506747847,7.580158906,8.246896031,7.674022991,7.918583368,7.696267425,7.931025901,7.896792774,7.657632871,7.52274867,7.720339676,7.603631002,7.686966918,7.612631278
"AATF",8.659705058,8.321129371,8.510833024,8.471196205,8.260286193,8.48743964,8.72993687,8.540969252,8.234597327,8.63508287,8.354081518,8.232955198,8.362224501,8.34545371
"ABAT",8.453617665,8.441535613,8.663244918,9.034848755,8.761747341,7.767196142,8.856921355,8.516483978,8.120710801,8.867821796,8.637867916,7.643250028,8.970571743,7.964573689
"ABCB4",11.95738033,10.09825926,11.43549769,11.31041638,11.30557661,11.55684142,11.55501213,11.60354342,10.79635458,11.2240561,10.88247902,10.18723796,9.975596942,10.50927919
"ABCC5",7.703960088,7.419134607,7.455270273,7.19216852,7.921961477,9.105340343,7.312359087,7.939825696,8.081918317,7.419882902,8.073534916,8.782662674,7.524738827,8.695893597
"ABCF1",10.2766219,10.22399361,10.09277391,10.40007606,10.39431123,10.33435029,10.43558983,10.29614202,10.40007606,10.60202294,10.44858643,10.34608255,10.32032903,10.54697577
"ABCF2",8.000277718,7.079192879,7.192846397,7.221683039,6.89996897,6.650766821,7.839471235,7.339248405,7.159514794,6.9425933,6.968673369,6.877015834,6.697168465,7.046949073
"ABHD2",7.712391906,7.215039396,7.53789952,7.471846623,6.694290668,7.279924509,7.470106356,7.794849654,7.054679314,7.437712025,7.736962072,6.943640091,6.96551605,6.819238012
"ABL2",4.891332771,5.303892809,5.222994043,4.886169033,5.138696131,5.335760754,4.811121788,4.877074253,4.755845823,4.955314168,5.127996432,5.078509908,5.151315882,5.146246005
"ACAA1",11.86105046,11.88323767,11.72779121,11.22547149,12.28216142,12.14745612,11.9641295,11.94635775,11.07579462,11.5919422,11.49902488,10.36862642,12.33308286,10.61923232
"ACAA2",10.94241912,10.568447,11.16060921,11.2283822,10.02738098,10.25026158,10.62171264,11.42982716,10.25676206,11.08112973,10.16641352,10.15885081,11.5751465,9.861628059
"ACACA",8.243261861,8.133230027,8.645120002,8.170113488,8.750009473,8.354977123,8.46590915,7.512487094,7.978632273,8.502293219,9.133963597,8.84670487,9.005610871,8.039861473
"ACACB",10.43743675,10.12646108,10.18806151,10.07288129,11.19241826,11.5751465,10.52507956,10.92636592,9.83995168,9.851211755,10.98115787,10.28646337,10.87060241,10.9108849
"ACADM",11.69391966,11.59962878,11.67278258,11.77591712,11.83139903,11.7178311,11.45897433,11.44081333,11.26020386,11.28136424,11.60912306,10.79504013,11.98392076,10.825995
"ACAT1",12.29896498,13.18040021,13.38967376,13.18503779,12.87882934,12.8611496,13.11468206,12.7762766,12.74909955,13.24494061,12.66068263,12.759031,13.79780687,12.10484123
"ACD",6.207880275,6.599951827,6.497102564,6.548641443,6.32186519,6.488825019,6.941950321,6.099896588,6.435242569,6.589515252,5.877195427,6.807632787,6.282548202,6.27739531
"ACLY",9.78188802,9.347454914,9.630010079,9.692353358,9.400059546,9.245245704,9.801602704,9.401251402,9.261061557,8.945029351,9.497239616,10.07060806,9.728331446,10.05505958
"ACOT4",9.194047074,8.737270797,8.955528522,9.784635808,9.110181227,8.947766955,9.165555841,9.497239616,9.102567259,9.779061856,9.624361167,8.517442257,8.571093017,8.596912654
"ACSL1",11.50819626,10.53329922,11.32608155,10.99624612,11.31041638,10.8176737,10.7378302,11.1866365,10.02272499,10.92233866,11.54186229,10.21361525,11.3277166,10.74730544
"ACSM3",9.307250079,9.697756344,9.347454914,9.452239916,9.92962314,9.837124929,9.457323808,8.426677984,8.812875238,10.00661356,8.860802712,8.668381723,10.59786088,8.390724813
"ACTB",13.32023584,13.57823608,13.71007567,13.55543357,13.50696633,13.9332178,13.7164356,13.8922497,13.55543357,13.44580954,13.9332178,14.1501375,13.45127798,13.65138404
"ACTG1",14.15977157,14.25111105,13.69099711,14.48579072,13.71007567,14.02127598,14.20890499,14.07918801,14.41687396,13.82624506,13.73034972,14.31547552,14.10485116,14.11384894
"ACTG2",6.562407264,5.918095163,5.62195928,4.60827847,4.53331323,4.541977705,7.08632363,7.902837405,5.649976711,5.663945946,5.53599334,8.30533291,4.813657797,6.083508036
"ACTL6A",8.750009473,9.281342512,9.048853775,9.088372922,9.123686693,8.445357857,9.716281745,8.823516979,9.658588252,9.140495789,8.922310548,9.38348564,9.039477951,8.691821744
"ACTL6B",4.797244398,4.614207618,4.545294292,4.678161815,4.616398235,4.544812223,4.65274739,4.857749603,4.494829424,4.602017171,4.637299144,4.508093996,4.562411983,4.74330091
"ACTR3C",4.931675259,4.782610789,4.942349956,5.307540331,4.899123712,4.739590232,5.009103428,4.84853554,4.829628611,4.755074336,4.827793314,4.914274054,4.970055531,4.712196006
"ACTR6",7.619518594,7.648659747,7.58848598,7.870749419,7.933326561,8.22552518,7.905491102,8.147724582,8.146575536,7.76795505,8.416850076,7.952644686,8.351666172,7.789175278
"ACYP1",7.616262989,7.36080261,7.307125257,6.894003155,7.809374884,7.070899,7.643250028,7.436683622,7.821101395,7.233345763,7.565178588,7.810837283,6.721054142,7.801988527
"ACYP2",8.477035458,8.351666172,8.694060161,8.423140104,8.400538415,7.795171625,8.387421582,9.008838927,8.103056087,8.80842887,8.540134972,8.249445385,9.111761061,8.023401268
"ADAM9",5.502620743,6.283345584,5.599511489,5.464393785,5.447975156,5.429116006,6.183809707,6.270220304,5.889844054,5.519778922,5.342608595,6.089086824,5.50801899,5.604946427
"ADAMTS1",5.470439289,8.001485841,6.964549848,5.671395241,5.499976616,6.200065807,6.139712725,5.716850866,6.967691615,6.456547712,6.006719636,7.303127319,6.394765051,7.588828874
"ADAMTS13",5.200376992,5.620857195,5.097761976,4.881784927,5.69477439,5.672111396,5.286633048,4.674034915,5.193504338,5.078208948,5.229051848,4.976004364,5.496372813,5.557654344
"ADAMTS5",4.912000663,4.547146838,4.527633906,4.62253412,4.815631829,4.532070637,4.711813518,5.010290666,4.723935554,4.604945344,4.850772783,4.963901814,5.063472389,4.821823755
"ADAMTSL2",7.70676679,10.81291815,9.289098906,8.90087223,9.988486367,10.25927583,7.828076135,8.169308157,11.41623628,9.226656508,7.532044547,9.918171974,9.515736796,10.13541866
"ADAMTSL3",4.799958333,6.415873186,6.566188649,6.217492684,6.261037509,6.183809707,6.491122917,5.35136822,6.44227865,6.559009216,5.93800653,5.272108746,6.80095452,5.498995377
"ADAR",10.79271529,10.88247902,11.12956435,11.24835858,11.10622404,11.02899071,10.74982227,10.77584532,11.00824054,11.08230547,11.55090289,11.05391681,11.18512385,11.36860454
"ADH1A",14.02956106,14.82126215,14.65498088,14.36877115,14.96826165,14.85989068,14.17885461,13.9332178,14.5929164,14.83241999,15.10558798,14.27217191,14.90643066,14.46185118
"ADH1B",9.143284207,11.17267762,10.55137852,10.4267168,11.69215001,11.75909982,9.555009806,9.802270612,10.35351551,10.37715161,12.06635867,9.723435868,12.00141449,10.99201781
"ADH1C",13.32512952,13.30631135,13.02315977,13.25882784,14.14098906,13.12339608,13.23181866,12.70743158,13.4729292,13.97174048,13.83989029,12.786411,14.22972296,13.03568098
"ADH4",13.27795325,13.53843449,11.63633231,11.54388908,14.07918801,13.83273195,9.744511995,11.88323767,12.78994632,13.40596914,13.73591776,11.96872197,14.09725874,12.26886494
"ADIPOR1",9.7240942,9.90690419,10.36582824,10.33620565,10.04461698,9.394395436,10.02508049,10.12714789,9.954623607,9.762651308,9.414119523,9.428961093,9.75990103,9.733311964
"ADK",10.45626757,10.14209183,10.25122725,10.16970922,10.35351551,10.02272499,9.267595654,10.58501343,9.71892722,9.922798,9.60772942,9.22936951,10.3934097,9.126499385
"ADNP",6.712172162,7.08570384,6.665510876,6.763734552,6.969890741,5.371464065,6.925111588,6.713367522,6.971115757,6.46867172,6.750079741,6.844656885,6.883420988,6.334677416
"ADRA1A",5.288600286,6.075809989,5.713740713,6.071227175,6.805290664,6.661001296,6.006969701,6.14212916,5.297214198,5.459282267,6.381115432,5.374340177,6.634875979,4.97076258
"ADRA1B",6.906698085,8.065876841,6.959072785,7.294481234,8.397463968,8.025068338,6.547318576,7.247919191,7.218001739,7.171641928,8.465042026,6.333256411,8.221478385,7.56453584
"ADSL",10.43362155,10.28988199,9.863057319,10.2439689,9.893459895,10.0093472,10.34068522,10.38987329,10.16135047,10.01797362,9.85869271,10.261829,9.871334055,9.951134804
"ADSS1",9.283492761,8.116407919,9.865832382,9.17997179,9.78388192,10.22879373,8.639272713,10.59059107,8.519520661,8.406695106,8.255093185,8.376964266,8.459054526,8.183286356
"AFP",7.651655987,8.647430605,7.288907614,7.162379831,8.281529777,8.598195401,6.581353268,7.30809337,9.689096961,7.092693846,9.072175062,8.630135629,9.24354846,8.55402691
"AGAP1",7.124783445,7.537559594,7.304796649,6.967398321,6.836478594,6.46867172,6.492618929,7.018045032,7.313448081,7.093339307,6.684991079,6.735111636,6.638563887,7.155555355
"AGAP3",8.684931361,7.631095728,7.811227391,8.339751482,8.634225737,8.443664254,7.398764904,7.732212852,7.960806136,7.693849265,8.052580958,8.128520484,7.94460042,8.761747341
"AGBL5",6.700028826,6.758178311,6.926057483,6.972994079,7.658067858,6.85904822,7.568454813,7.34579768,6.772960901,7.336102608,7.303418789,6.172664775,6.836478594,6.9739126
"AGGF1",8.063237985,7.938991646,7.849215471,8.031540822,8.395900767,7.130864855,7.976581671,8.037011359,7.946196263,7.472584311,8.469125033,7.831899915,8.192923907,7.267322664
"AGL",9.558188081,9.550505713,9.653846846,10.02185131,10.75485955,10.71664251,9.9465261,8.925432751,8.830216408,9.192975376,9.613587186,9.410598386,10.60111605,9.718284963
"AGPAT2",9.281872194,9.466507595,9.200042945,9.338556364,10.05670891,9.853545831,8.788827753,9.457876455,8.657680111,9.199537288,9.169425621,9.092391323,9.399455766,8.965990211
"AGTR1",7.442950134,9.685973836,9.371122922,9.344489259,9.357308313,8.680581997,8.765832819,8.142470882,9.271072787,9.557499591,8.729467157,8.666982086,9.473412804,8.105085424
"AGXT",13.42060334,13.50109383,14.35779379,14.17885461,14.43988582,14.67969991,13.94063792,13.79780687,13.73034972,14.18968283,14.73166834,13.87601694,14.28450814,14.15977157
"AGXT2",9.00662177,9.247106713,9.133963597,9.133963597,9.344489259,8.293881927,8.636962682,8.764812859,9.451219733,8.329482591,8.871702733,8.445357857,10.21176752,8.167387882
"AHCTF1",7.826665767,7.9193701,8.132063078,8.052924302,8.230981337,8.027080373,7.582019486,7.310327252,8.127732322,7.592070199,7.917848412,7.989876543,7.836000296,7.955386208
"AHNAK",9.414119523,11.04582698,10.53664973,10.30505202,10.60931816,9.879380033,10.42938637,9.880140063,11.04156773,10.42242831,10.39632296,10.7354771,9.632656366,10.76496875
"AIDA",6.432504095,5.862742175,5.98172192,6.097013417,5.12890533,5.131552447,6.241159004,5.924158149,5.864262178,6.143117983,5.175704197,5.716115646,5.406147342,5.13089643
"AIFM2",6.040998514,5.665955076,6.360932185,6.625398398,6.253865745,5.853240382,5.250195532,6.200600381,5.518407943,5.308660853,5.804694462,5.815544915,5.071310216,5.841121207
"AIG1",9.96849307,10.10316422,10.3415596,10.46200004,10.32032903,10.0873017,9.714988445,10.11675023,9.868558966,10.25326393,10.11284531,9.256161358,10.52912344,9.615980262
"AIRE",12.45282943,12.45845128,12.34165508,12.02806884,13.06763298,13.43111535,12.14082165,12.03757959,12.37042036,11.76107566,12.67024641,13.11919711,12.39679827,13.27795325
"AKR1B10",13.81116187,12.65067967,13.64526552,14.40421508,11.8813701,11.4178704,12.76630827,11.95738033,12.91303593,13.46218989,11.34026353,13.07163284,11.29440247,13.08872561
"AKR1C3",13.84738641,12.90515732,13.29173015,13.57218662,12.69027383,12.81748548,13.76985251,12.68680402,13.50696633,13.30118265,12.54206067,13.14985811,12.7415826,12.33878806
"AKR1D1",13.94063792,13.77678562,13.79780687,13.70401627,14.53460228,14.53460228,14.38078954,13.31064115,13.48430892,13.65716013,14.32467713,13.8922497,14.16921014,14.24112587
"AKT1",10.62064315,10.62970167,10.94105256,10.96602895,11.40969128,10.93562786,10.80605604,10.50511422,10.58072893,10.88760078,10.93441926,10.59483434,9.855107554,10.95052907
"AKT2",5.269839837,4.985264004,5.381861485,5.597362323,5.439928704,4.841104709,4.829876688,4.935190609,4.839577833,5.517431101,4.777114725,5.051334232,5.14317339,4.739203338
"AKT3",4.77973804,4.989894943,4.937178933,4.701769078,4.90456094,4.706792839,5.011018564,4.691258494,5.181750313,4.763943631,4.889281024,4.711225081,4.7110935,4.746492524
"ALB",15.12138914,15.23776273,15.21164625,15.12138914,15.17334396,15.30532618,15.17334396,15.09185498,14.94379634,15.12138914,15.19076697,15.14108917,15.23776273,15.14108917
"ALDH18A1",8.862835391,7.97901995,7.968152243,7.82959125,7.653861218,8.32784374,8.052924302,8.080684071,8.501855449,7.831551961,7.469054577,8.329099485,8.151398826,8.050169878
"ALDH1B1",9.065037037,7.566329009,8.018829088,7.505097775,8.148888737,8.474323562,7.631890437,8.196307038,7.505097775,7.816580819,7.272980637,7.012925789,9.17749263,7.344479356
"ALDH2",11.53418496,12.8140299,12.62234706,12.97612793,12.32222102,13.33950589,12.68048571,12.31991831,12.04036229,12.58368962,12.86792889,11.97486197,13.67221901,12.09261105
"ALDH6A1",11.14859249,12.10484123,12.14745612,12.33878806,12.31991831,11.93057972,11.60912306,11.99909837,11.60354342,11.76730698,12.09261105,11.08788917,11.5307465,11.19998228
"ALDOB",15.09185498,15.14108917,14.96826165,14.82126215,15.15586653,15.09185498,15.00621177,15.10558798,15.09185498,14.85989068,14.84525398,14.62897555,14.87305649,14.99278834
"ALG6",7.590527308,7.618476831,7.507915038,7.318063376,7.972322267,7.408798314,7.986347559,7.8086026,7.913610952,7.773573232,7.49967434,7.304082866,7.710950326,7.552797555
"ALPL",10.58603176,10.71882651,11.59581419,11.70341082,11.03845404,10.69435545,9.665871852,11.74354666,10.39632296,10.70521102,10.01503095,9.512017055,9.811296878,10.29227634
"ALYREF",8.524629968,8.174845796,7.763540555,8.346712765,6.987986631,7.494431191,9.23749541,8.77340085,8.316821847,8.787895281,7.604009888,8.514666684,7.478340269,7.2482787
"AMBP",10.49610767,11.2240561,11.34026353,10.82839098,10.82116823,10.868223,11.50819626,10.95193069,10.48007501,11.39927702,10.89864764,10.53497482,11.27815026,10.37882367
"AMDHD1",10.95565395,10.5535261,11.3433554,12.21728884,11.04445425,11.10326071,9.67331702,11.87186683,11.75525569,11.20416843,11.12252154,11.19684561,10.62395557,11.58847222
"AMZ2",10.55569188,9.961129021,9.972522405,9.705252578,10.11761171,9.852047347,10.45732096,9.947946752,9.992264635,10.11284531,9.704535782,10.16309914,9.889760787,9.925231087
"ANAPC11",10.45059266,9.590605211,9.29401863,9.492974664,9.546861277,9.391309022,10.35440957,9.878691825,9.580504528,9.894265105,9.476054712,9.221784995,9.692353358,9.141677008
"ANAPC5",10.11985492,10.32512012,10.42134448,10.31212669,10.46803941,11.06894907,9.972522405,10.868223,10.43743675,10.58936896,10.48211985,10.25927583,10.42134448,10.27329989
"ANAPC7",4.874169972,5.274377957,5.169928098,5.950192865,4.808718759,4.974557418,5.709297125,5.385065341,5.247869786,5.808093046,5.134982936,5.381861485,5.602667305,5.023432921
"ANGEL2",8.055971946,8.564910363,8.760213716,8.553175802,9.058788096,8.665103042,8.461265074,7.969597126,8.558175479,8.284010502,8.823516979,8.662810669,8.753488713,8.716584401
"ANGPTL1",4.584342344,4.928374083,4.599324593,4.805359665,4.892410212,4.912483809,4.762308757,4.615030499,5.055870549,4.838763093,4.820092268,4.736895533,4.988250441,4.693929345
"ANGPTL6",7.305454768,8.480043139,7.936755456,8.046191874,8.335792607,8.152868326,6.355615225,7.324854771,7.700758913,7.611597458,6.908357871,7.481385108,8.184923991,6.989620854
"ANK3",5.356972894,6.184914102,5.391065323,5.325454814,5.599718564,5.505843169,4.925707495,5.024428886,6.147097846,5.735600578,5.440324613,5.669325476,5.681893878,5.775926105
"ANKH",4.531051513,4.741837011,4.758648469,4.913712514,4.76360548,4.602269941,4.945353953,4.521950706,4.53688894,4.731680413,4.651103362,4.760344788,4.73504188,4.512471345
"ANKRD27",5.74285264,5.355478207,5.203999044,5.513158354,4.939768992,4.813383278,5.307970869,4.710303346,4.721182663,4.686279589,5.05478037,5.213184733,5.076433812,5.085849217
"ANKZF1",6.870004186,7.1446468,7.269807652,7.319463697,7.815515283,7.817714514,6.8277565,7.349267877,7.651655987,7.53342004,7.233687174,7.518603592,7.379914395,8.009807097
"ANLN",4.886069254,4.836162362,4.98858591,4.47145168,4.579202919,4.835117894,5.784784227,4.999409461,4.930045223,5.325044593,5.0155739,5.124117212,4.759670927,4.682054593
"ANP32B",11.58252047,11.85251169,11.18044051,11.5325004,11.10326071,10.93809062,11.87653757,11.41448547,11.87653757,11.7237906,11.15756897,11.53418496,11.20706103,11.26743659
"ANP32E",4.527046168,4.772050976,4.566126468,4.812385981,4.460922157,4.576108248,4.420893885,4.638988397,4.560296685,4.486043065,4.711263629,4.511349715,4.607724879,4.712893577
"ANTXR2",9.086320798,9.314787436,8.790267667,8.934080672,8.920284607,8.352074653,8.063598642,8.177343193,9.288059033,8.655050347,9.095091781,8.558175479,9.078899828,9.076277243
"ANXA10",9.381681187,10.37135511,10.06706489,10.91857388,10.32236515,10.73058639,9.220108728,9.313103457,9.25152193,10.90538082,9.483369851,9.630010079,10.57290248,8.978979469
"ANXA3",4.460936893,4.60319951,4.491771273,4.559611644,4.575337421,4.420619562,4.587738417,4.507693372,4.749356689,4.467396805,4.409109402,4.355725321,4.493142584,4.515778737
"ANXA4",6.239740312,7.081431013,6.495949398,6.443438543,6.013117835,5.221742119,6.945569507,5.721300813,7.042305604,6.535161401,5.75335997,6.664916937,6.613865281,5.969035495
"AOC1",4.674065752,4.513947652,4.585871943,4.48710767,4.79174778,4.508670923,4.666785395,4.542718828,4.949499342,4.839766413,4.577868885,4.722938314,4.479236037,4.806975907
"AP1S1",10.98779279,8.159681667,8.51863913,8.987268612,8.902797675,8.586442905,9.89206215,9.395821757,8.304584761,9.428961093,8.155239958,7.928759232,8.770641238,7.922708294
"AP3B1",10.05988296,9.857186517,10.08337656,9.950398724,9.697756344,9.310635662,9.586091321,9.925231087,10.22475405,10.21083511,10.11439585,10.403875,9.821315725,9.47086339
"AP3S1",9.161746781,8.71804698,8.752439507,8.678185531,8.462076855,6.722914495,9.539363933,8.656448825,9.2869577,9.510799618,8.674920317,8.800783353,8.999843412,8.107556044
"AP5M1",8.123117208,7.52040925,8.049388661,7.880965466,7.663124823,7.523367054,8.013809043,7.854681107,7.568454813,7.240342499,7.598210471,7.514229,6.985120953,7.394287037
"APBB3",11.05889394,9.95853672,11.17745842,10.6547996,11.82744105,12.15477543,11.26170068,11.27815026,10.94792119,11.21040909,12.17047897,10.69317013,10.27071949,12.19730455
"APC",4.398822497,4.523091766,4.566140476,4.715104911,4.617041579,4.51781056,4.423350489,4.561623505,4.793581549,4.376549068,4.85915957,4.670054073,4.609179341,4.416137771
"APC2",4.551567359,4.483624386,4.691701767,4.626007986,4.481245638,4.451899232,4.630183199,4.561048932,4.649849317,4.843455323,4.699943043,4.57666775,4.572384897,4.686862019
"APH1A",10.0165324,9.756307156,9.824924223,9.830080423,10.12555237,10.27942118,9.716957364,9.894938283,9.8335792,9.988486367,10.13541866,9.639465032,9.513762843,10.22879373
"APIP",8.516922795,8.444087558,8.525540355,8.392392006,7.806235584,6.902997555,8.62124879,8.319197561,8.744175517,8.521220642,8.542376613,8.470334541,8.59289709,7.476987503
"APOA1",14.85989068,14.5929164,14.66853289,14.69145717,14.78202348,14.83241999,14.65498088,14.58103204,14.38078954,14.29526155,14.62897555,14.64302885,14.74381914,14.38078954
"APOA5",10.62970167,10.99201781,10.534434,11.24677998,11.95102218,11.97275519,8.137731099,11.86323076,11.20416843,9.463381212,11.61107862,9.986412767,11.85501105,11.56424984
"APOBEC3B",6.705829018,5.298898069,5.107746152,4.510645567,4.489849896,4.573316211,7.032117321,5.273617936,4.520435834,4.83392343,4.711833181,4.788190566,4.584562155,4.61815865
"APOC3",15.30532618,15.03238135,15.01797082,15.14108917,15.19076697,15.17334396,15.30532618,15.26451205,14.64302885,14.80654541,15.15586653,14.92968736,15.0607914,15.09185498
"APOF",10.93809062,11.50282981,12.20467566,12.5212008,11.70541546,11.6863513,9.997311034,11.58644237,10.5176527,11.9708252,11.28963585,10.84317628,12.0731448,10.39177273
"APOH",13.79129124,13.27330599,13.40596914,13.27795325,12.98752368,12.59979509,13.2540394,12.87554659,12.76284089,12.85327893,12.88289199,12.8611496,13.35440058,12.8611496
"AQP1",5.808093046,6.519353102,5.67188006,4.876158663,4.868700274,5.184203835,6.500022891,5.261940662,6.644540522,4.697563964,4.954884273,5.924158149,4.724927361,6.316153472
"AQP3",4.44455599,4.660568299,4.558116425,4.936570405,4.434171038,4.582363881,4.462759675,4.664307277,4.564753448,4.623501336,4.551589055,4.606725849,4.925174985,4.635072781
"ARF1",11.31041638,11.19998228,11.60535626,11.67895245,11.42601317,11.35869823,11.65268146,11.61847188,11.43362634,11.37636647,11.38677174,11.52722642,11.39146515,11.64372344
"ARHGAP10",7.635501926,8.03385517,7.289345132,7.583518623,7.30645435,7.746423474,6.029398481,7.277563941,7.487647259,7.989072857,7.455971792,6.536594531,8.73903507,7.243566866
"ARHGAP11A",5.311605283,5.138275705,4.906146693,5.169928098,5.185523613,4.936722659,4.967880963,5.284790958,5.124117212,5.21218077,5.103620435,4.960011155,5.440526149,5.120413501
"ARHGAP19",7.353302695,7.274396882,7.237630761,7.139297943,7.399815196,6.829341527,6.24090408,6.967398321,7.350624882,7.307125257,7.407010653,7.29512676,7.19216852,7.039200457
"ARHGEF11",6.091200019,6.095719237,6.47102109,6.519050677,6.532921555,6.253348247,6.027338539,6.191440604,5.973160124,6.096746087,6.515101376,5.917438276,5.941177766,6.563330483
"ARHGEF26",5.100568039,5.288908876,4.76396843,5.073163985,4.545727504,5.118840724,4.621884741,4.930744205,4.787189047,5.181864436,4.70368085,4.770013287,5.488412227,4.985947279
"ARID1A",8.909580954,9.325000946,8.975335339,9.059320721,9.523725243,8.802257789,9.201655776,8.921301889,9.17997179,9.230013323,8.942536575,9.110181227,9.311285654,9.148800093
"ARID1B",7.007763234,7.424816015,7.046949073,7.08632363,7.781248959,7.880965466,7.625123281,7.027957492,7.642909996,7.065195324,7.849970476,7.944228976,7.893156731,7.637799941
"ARID2",5.156205934,5.537408506,5.922160508,5.791154762,5.996170517,5.220658829,5.735103963,5.318527662,5.887101994,5.46201361,5.842650143,5.728325085,5.899420629,5.613552116
"ARID3B",6.783173974,6.876107545,8.449289758,7.040677145,7.183169498,6.999671809,6.739487298,6.624056589,7.268053481,9.182168465,8.872224985,8.026670207,6.993044223,9.038370016
"ARID4B",8.696888089,8.438947789,8.875416465,8.728600097,8.180482426,8.574690784,8.271821098,8.148488884,8.83736397,8.310435415,9.027006759,8.625357776,8.249445385,8.80842887
"ARIH2",9.114476267,8.878851561,9.136676309,9.233806546,9.570108506,9.483995871,9.057907806,8.770193333,8.879858259,9.263267297,9.637449338,9.34103682,8.997411082,9.400059546
"ARL15",5.900184668,5.423988598,5.854218169,5.901026668,5.692013801,5.756624869,5.874771113,5.687112925,5.989078163,5.62195928,5.954925838,6.013888542,5.730721794,5.754565864
"ARL6IP6",6.892956442,7.564194717,6.831526728,7.074162635,6.941338668,6.013340525,7.487647259,7.411750291,7.494724352,7.011079295,6.839517038,7.358370036,6.92145084,6.503886284
"ARMC1",8.392765331,8.264352099,8.466834178,8.290880069,8.788827753,8.840324354,8.69724622,8.565347437,8.891080507,7.98281335,8.664167485,8.542835145,8.794983683,8.797834303
"ARMC6",9.625541089,7.551466715,7.827047112,6.533706535,7.399507824,9.410031028,6.669712275,9.600683855,7.17392754,7.331729906,7.605325229,6.361216662,8.494893101,6.48043006
"ARPC1A",10.8191708,9.925231087,10.66402868,10.60111605,9.935478937,9.757057951,10.82995833,10.24665707,10.73428441,10.48998154,10.14452215,10.16220967,10.04707071,10.43051047
"ARRDC4",8.264352099,6.390904307,7.885754728,7.065195324,7.3467566,6.961408258,8.091539822,7.316752597,6.934953173,7.494724352,7.068055903,6.5205051,7.311676557,6.714567492
"ARSJ",4.619007828,4.934177953,5.235862757,4.633695494,5.019927344,4.688484755,4.675475683,4.810515992,5.669858199,4.775315367,5.331796412,4.922057814,4.95951076,5.022319016
"ASAP2",5.513724317,5.783157042,5.89821259,5.217301247,5.511447145,5.623570698,5.358353634,5.221742119,6.150811549,5.559453518,6.498487675,6.247511303,6.179644298,6.416825507
"ASH1L",4.921038943,4.907472408,5.477559454,5.208385322,4.926903772,5.396526538,4.788366012,4.738576598,4.665568491,5.064506805,4.763422312,4.853034868,5.195556898,4.813505303
"ASL",9.721505472,8.95037999,8.34145044,9.840751737,9.647733854,10.08575815,8.619002225,8.978979469,9.607157445,9.125436062,9.340413862,8.392392006,8.838885786,10.3934097
"ASPA",5.166654963,6.265755894,5.142839434,5.442438799,5.791938697,6.412422399,5.87374169,5.990104149,5.634389699,5.354377993,4.63800365,5.206981844,6.512749904,5.104199704
"ASPH",7.505401139,6.55022409,6.712445605,5.662160725,7.353302695,6.559577746,6.637239229,6.541618763,5.814207372,5.94315023,5.174395847,5.839346016,6.101707165,5.188972639
"ASPM",7.662027384,7.493388009,7.87387413,5.332684817,5.726621052,6.516287011,7.742837586,6.784747432,6.638563887,6.544447933,7.067719304,6.41938272,6.011595016,6.967398321
"ASS1",13.30631135,12.92071092,13.65716013,13.40995688,12.65386471,13.46716033,11.3483191,14.56789889,13.07163284,13.22150455,13.7164356,13.26337964,12.67373701,13.39444557
"ASXL2",8.672017833,8.60514592,8.727695031,8.356235182,8.686907701,8.372896167,8.224729783,8.643327822,9.133963597,8.298592131,8.947766955,8.703088147,8.679159338,8.687341363
"ATAD2",6.978340341,7.639267736,7.428227348,8.036273284,6.68592452,6.086168565,7.757548381,6.684991079,6.586157327,7.18695558,6.723255191,6.994464979,7.470469527,6.383704439
"ATF2",6.476322686,6.716072518,6.600589796,6.35224152,6.044696926,6.312743988,6.598948766,6.747251876,6.622566203,6.255285923,5.976541122,6.347576311,6.232945121,6.246945783
"ATF5",12.46720994,11.846383,13.10668896,11.76519759,11.91716622,12.88943183,7.656273281,12.93188319,11.42093765,11.24677998,10.79504013,12.19274671,12.59637904,11.22273838
"ATG12",10.18806151,9.437312256,9.735366025,9.791397157,10.66107672,10.77838175,9.326106723,9.614103234,9.581122239,9.102567259,10.99201781,10.31939684,10.00418672,11.11817424
"ATIC",10.60006031,10.43960962,10.41931077,10.98228931,10.16380693,10.26708439,10.39932602,10.60931816,10.74359336,10.6873314,10.48007501,10.66934189,10.97990096,10.37401848
"ATOH8",6.100637442,7.49064633,5.648241791,7.077564342,7.09469507,6.888021961,4.491225571,6.703065723,7.043235723,6.985120953,5.93326475,5.602457945,7.515381243,6.862501956
"ATP6AP1",11.08788917,10.83904859,10.77584532,11.00154071,10.85031994,11.24677998,10.91503943,10.93297983,11.23377817,11.28806027,11.31563832,11.55308009,10.5176527,11.41949993
