"","LDN-1","LDN-2","LDN-3","LDN-4","LDN-5","LDN-6","LDN-7","LDN-8","LDN-9","LDN-10","LDN-11"
"CEP55",5.708180438,5.341950017,5.557860268,5.396368479,5.501101174,5.320153261,5.067232088,5.274640082,5.216554404,5.675175393,5.160652316
"CEP63",8.008616158,8.187607004,8.25627124,8.148488884,8.190100074,7.862749998,8.075514452,8.136032084,8.240115492,8.221478385,7.757221385
"CEP70",7.098012408,7.098984174,6.682423724,6.62690558,7.450685157,7.205163709,6.838933157,7.223725159,7.176917727,7.438069057,7.116479772
"CERS5",6.866317168,7.248927652,7.222388669,7.034932082,7.179182809,6.979329698,6.485533052,7.137670655,6.91413391,6.452963172,6.955626463
"CETN2",10.5062857,10.71664251,10.02591663,9.881011473,10.35063073,10.26098106,10.25122725,10.74982227,10.08189203,10.28735351,10.18080984
"CETP",8.715244693,9.964347596,11.67278258,11.47065282,11.00154071,11.54186229,11.77795741,11.17745842,11.31722891,11.37480853,7.157258726
"CFI",9.849536418,9.759164366,10.25676206,10.37135511,9.990801498,10.01727335,10.06706489,10.00201645,9.953214499,10.99342571,10.64941068
"CFP",5.455996201,6.071480719,7.427566304,7.407687407,7.095705575,6.609324001,7.762092086,7.743251544,7.66830466,7.615176127,4.792958038
"CFTR",6.942259602,4.796471221,5.169928098,4.969256904,6.212274419,6.246945783,5.678190559,5.103620435,4.851738957,5.143941179,5.598431942
"CH25H",7.877648909,8.175317266,6.725413001,7.189624415,7.21438324,8.177779242,7.245843644,5.923365599,6.726199243,6.067532205,7.981993251
"CHCHD1",6.526781174,6.733953993,6.910205823,6.702113639,6.520244057,6.075021024,6.188944262,6.539040108,6.213073208,6.526489352,6.9024034
"CHCHD2",13.51160177,13.58877583,13.44580954,13.29173015,13.18040021,13.30631135,12.98752368,13.40596914,13.17576502,13.41512683,13.54918483
"CHCHD7",7.413177373,7.364897987,7.702911846,7.689236981,7.84376745,7.674641218,7.803406069,8.038160702,7.75975288,7.000044182,8.298086498
"CHD1L",7.889255992,8.443269624,7.918583368,7.52404214,7.770760473,8.335018028,7.36080261,8.480923209,7.955748733,8.350066655,7.839081631
"CHD7",6.593115331,6.821194261,6.920203189,6.756586672,7.128945583,7.06355649,6.915000976,6.810128049,6.577238822,7.09469507,6.797944267
"CHKA",9.017459711,8.384826485,8.702133253,8.430500624,8.869836743,8.880429657,9.269288898,8.999843412,8.879350385,9.017923506,8.09757459
"CHML",6.04389724,6.40918015,6.403771753,6.599600122,6.544751511,7.291761975,5.967522139,6.234750762,6.395596267,6.709499176,7.209718773
"CHP1",8.86832806,9.120942596,9.321962328,9.404301842,9.561593822,9.063997127,9.507966572,9.17997179,9.357308313,9.372900902,9.552521207
"CHRAC1",5.977862879,6.121831498,6.104413687,6.071227175,6.21533267,5.942628579,6.045640293,6.296583834,6.117479006,6.508812186,6.138824285
"CHRDL1",4.692397248,4.537196219,4.984558858,4.625113207,4.587540254,4.653501834,4.677589918,4.549520959,4.640600085,4.658995954,4.655886561
"CHST4",9.950398724,7.594938685,8.416850076,8.628726026,9.477793142,9.930386833,9.570752928,8.024243363,9.189450349,8.362224501,7.995572581
"CHST7",8.783135168,8.385264992,9.226106261,8.98364763,9.463914487,9.117605101,9.513191153,8.717024316,9.465184252,9.313725999,8.563952159
"CHTOP",8.551522216,8.56849269,8.379986317,8.637423327,8.465488285,8.42403927,8.323045203,8.614056248,8.38348234,8.417291449,8.287945242
"CIAO1",9.769332441,9.574652489,9.961129021,9.811296878,9.834954293,9.593772173,10.02738098,9.318321083,9.715597252,9.653846846,9.428961093
"CIDEB",10.62395557,10.58072893,10.38372757,11.07706695,10.76857448,10.41265736,10.2828424,10.89864764,10.95934411,10.89495347,11.86323076
"CILP",7.267041162,6.752508006,6.973276154,6.884948241,6.617303771,7.986769761,6.415596522,5.916431786,6.73759205,6.203411788,6.246103643
"CIRBP-AS1",4.804258284,4.771262328,4.9034672,4.778465055,4.562343326,5.843777891,4.843059247,4.946998568,4.819336393,4.940556022,6.123643828
"CITED2",8.451484679,9.037462732,8.762549137,9.240767688,9.146078778,9.304790259,8.546019767,8.646492459,9.245888862,8.195139585,7.218001739
"CIZ1",4.929767663,4.83392343,5.194282665,5.470842949,4.952587213,5.098153364,5.663250569,4.933877654,4.970958775,5.376863466,4.953200832
"CKAP2",5.823424355,6.378723204,6.344230429,5.840139648,5.847584732,6.031598154,6.026110255,6.274088599,5.868363541,6.308242606,6.129525746
"CKAP2L",4.943396978,4.856968679,4.795153986,4.692577048,4.550079086,4.571338112,4.545110403,4.938380269,4.707373881,4.85915957,4.694647247
"CKAP5",9.096211535,8.765832819,9.389047864,8.581805653,8.694989599,8.855521136,8.763994007,8.291836137,8.432967385,8.934975404,8.507252133
"CKS1B",9.459116385,10.37797562,10.10552914,9.926035524,9.912887824,10.09974923,8.991837821,10.18239933,10.2017349,9.951869939,9.653846846
"CKS2",8.134055574,9.376388375,8.672438447,7.503216252,7.780170276,8.25627124,7.534104033,8.767782295,8.144908512,8.563520543,8.692251602
"CLC",5.865858259,6.254431988,6.450569975,8.358351012,5.594655649,5.728325085,6.756939869,5.250463947,5.1457903,5.663714071,4.829517874
"CLEC4M",4.426703304,6.2019998,7.402235722,7.472938396,6.868898122,6.13036598,7.28367203,7.934017933,7.35976835,6.598948766,4.753221274
"CLGN",4.6643996,4.756281764,4.609398591,5.213582975,4.931005956,5.01258891,4.596691984,5.057220916,4.737503553,4.642306774,6.000902332
"CLIC1",9.663738774,9.367120379,9.38348564,9.440434487,9.481452251,9.901046504,9.427608213,9.167668807,9.524267939,9.659212151,9.90176954
"CLK2",7.380252627,7.14757317,7.012317724,7.277563941,7.380581169,7.353686563,7.118508848,7.082097955,7.528243702,6.961408258,7.016472323
"CLOCK",6.849897382,6.561774058,6.624340449,6.969890741,6.760027104,6.359024181,6.454186933,7.004133849,7.140973005,6.831526728,7.126586785
"CLTA",10.10150818,10.21083511,10.33620565,10.22240262,10.36776354,10.28988199,10.09042297,10.10316422,10.39832451,10.26795102,10.35242889
"CNDP1",4.673773826,8.997940586,9.403648616,9.166050642,8.484362377,7.61808066,8.658708982,8.070706351,8.987691888,8.837838996,6.087240814
"CNIH4",9.413051244,9.473412804,9.478371495,9.538827634,9.642707798,9.401251402,9.330137275,9.426455488,8.985136266,9.368764881,9.408827077
"CNOT1",10.19997676,10.11126957,10.33435029,10.27482704,10.16641352,9.778333228,10.534434,9.951869939,10.02431948,10.45626757,10.38569095
"CNOT10",7.359433875,7.074479716,7.052910668,6.938433072,7.446368853,6.838933157,7.218001739,7.181858174,7.363874046,7.308811212,6.852276521
"CNOT3",6.011887518,5.878704538,5.791414182,5.826832428,6.22252688,5.774491933,5.950192865,5.642777492,5.965971559,6.02217525,5.907455531
"CNOT4",8.241706261,7.855453539,7.959621883,8.067736287,8.261124037,7.754783211,8.476177568,7.806235584,7.796969337,8.122730266,8.392765331
"CNOT6",6.391746033,6.06960452,5.600368561,5.881232116,6.24804973,5.760327287,6.387487871,6.50969788,6.41793212,6.157433113,6.094667748
"CNPY2",9.472189413,9.382855326,9.631886703,9.651106922,9.542036154,9.579830875,9.33373098,10.02831153,9.612930756,9.623122915,9.803469385
"CNTFR",5.24314807,6.361568207,6.836181927,6.018327047,5.303474844,5.170847753,5.165373015,5.140773942,6.207880275,4.691427588,5.211255389
"CNTLN",6.150331055,5.848346933,6.000372816,6.817120849,6.133659295,5.523242373,6.557248274,6.668601776,6.559009216,6.320166234,5.949190267
"CNTN4",4.678028293,5.34674097,4.676290381,5.185017571,4.763251141,4.751712116,5.020772684,5.197615786,5.054542989,4.689201302,4.66653207
"COG2",8.105085424,7.676015586,8.160026604,7.875764215,7.88692596,7.794849654,7.914477872,7.645371787,7.87387413,7.724802109,7.618858082
"COIL",7.90018295,8.195139585,8.223859547,8.154151193,8.363476497,8.290415469,8.129679226,8.019190788,7.896792774,8.258340899,8.099971169
"COL15A1",6.743105784,6.583693533,6.755913993,5.875022245,5.94315023,5.946652056,5.301681877,4.936825358,5.538765991,4.507268063,6.402642951
"COL4A1",11.23829138,10.71560419,10.6873314,9.410598386,10.27071949,11.30416877,10.31019862,9.687242808,9.749488599,10.09193899,12.12824671
"COL4A4",5.816598753,5.86176098,4.714800863,4.891287536,5.74285264,5.159632176,5.270710058,5.775421275,6.075809989,5.502620743,4.919192386
"COLEC10",7.041298879,6.670926575,7.1085308,6.513907895,7.139297943,6.982151276,8.279991873,6.981226052,7.106620842,7.153209698,5.785467027
"COLEC11",11.14859249,11.19084662,11.03040074,10.31939684,11.23829138,11.53418496,11.40103627,10.05109009,10.70521102,9.998110025,9.753644541
"COLEC12",5.605376531,4.980092937,5.323595886,4.5292149,4.654743122,5.129200602,5.189079115,4.721989928,4.704431524,4.719566631,5.572679398
"COMMD5",8.80842887,8.865385,8.595471987,8.432126934,8.550257867,8.483980522,8.727695031,8.540493693,8.356674964,8.622133308,8.60417778
"COPA",10.7378302,10.42756832,10.69539663,10.35989338,10.39177273,10.53019132,10.40299428,10.94792119,10.56107612,10.59164169,11.27815026
"COPS6",8.531747468,8.455007541,8.33616641,8.441535613,8.472579499,8.093961329,8.18846478,8.268554559,8.406348496,8.208804824,8.48871953
"COPS7A",10.38569095,10.13876515,9.863768356,10.13059807,9.933204405,10.13779704,9.995882916,9.876538238,10.00201645,10.18659748,10.25676206
"COPZ1",8.72993687,9.754377825,9.449948385,9.257267415,9.648419935,9.424284733,9.330770173,9.685973836,9.495470916,9.595584692,9.632656366
"CPA3",6.658653547,6.894597593,6.422288715,5.570736537,7.305454768,7.272352727,6.031598154,5.021143841,5.372587522,5.40510582,4.564071804
"CPN2",12.71446518,12.69027383,12.20759473,12.89378726,12.19509905,13.08872561,12.45282943,12.39171862,12.29104773,12.97096584,13.26781522
"CPNE1",8.075514452,7.930304256,8.028632562,8.321129371,8.145781831,7.980548052,7.82959125,7.976581671,8.284874058,8.03385517,8.191252782
"CPNE3",10.01106858,9.787482799,10.09590341,9.884666776,10.14973345,9.631886703,9.734663745,9.857956042,9.597497343,9.932543603,10.2404776
"CPPED1",5.128214933,5.540573282,4.617128915,4.866087453,4.720441553,4.740811454,4.95747684,4.661675968,4.888778931,4.624414853,5.373358732
"CPSF1",8.061996525,7.991040744,8.42049875,8.626842421,8.564910363,7.988727861,8.607037044,8.590595293,8.992390068,8.432519628,8.420913243
"CPSF3",8.80742561,8.596912654,8.82733199,8.469909317,8.648783555,8.66466475,8.598195401,8.562553845,8.433419605,8.546019767,8.687847505
"CREB3L2",9.018448241,9.022280973,8.973725237,9.049340095,9.382287179,9.100458892,9.212806702,8.741906663,9.393219722,8.875416465,9.039477951
"CREB3L4",4.666567763,4.678634426,4.54068149,4.881198567,4.926240797,4.560575205,4.972443811,5.134673922,4.641046336,4.574213744,4.807036234
"CRHBP",7.605699186,9.144876835,9.508585467,9.357308313,9.188828643,8.888697202,9.62744805,10.15275626,10.14378926,9.865179893,7.383880256
"CRTAP",7.487984018,8.210862838,7.808230864,8.195480403,7.629009815,8.433419605,7.461988892,7.579084476,8.614056248,7.616946747,7.529315265
"CS",9.982531038,10.31323864,10.05670891,9.607157445,10.11985492,10.1479597,9.863768356,9.71892722,10.12315892,10.19602042,9.744511995
"CSE1L",9.640680431,9.812615049,9.943530932,9.410031028,9.87296729,9.742376799,9.692353358,9.48082796,9.743782532,9.511411578,9.692353358
"CSNK1A1",7.808976348,8.11961628,7.987161681,8.264352099,8.126971825,8.427543572,7.765830985,8.586773675,8.435823371,8.319510094,8.33616641
"CSNK1A1L",4.786743031,5.29547736,4.712570686,4.802313168,4.851579609,5.356340924,4.862362777,4.910489977,4.729157137,4.966119001,4.902266808
"CSNK1D",8.708196682,8.421824334,8.290880069,8.27866989,8.079155621,8.870749711,7.955748733,8.632885215,8.915157148,8.136417459,8.418194384
"CSNK1G1",7.045588136,6.90919331,6.797605928,6.628740945,6.528194302,6.377550152,6.635185388,7.445702756,6.374923983,6.870587991,7.26417455
"CSNK2A1",7.012617222,7.410349086,7.061331626,7.320180289,7.146382671,7.524409301,6.703327912,7.577002528,7.370103166,7.491305592,7.849215471
"CSPP1",7.568454813,7.204847197,7.627876136,7.51933897,7.4839549,7.842384101,7.387399606,7.176209545,6.847158095,7.019431957,7.092693846
"CSRNP1",11.82505252,11.12087662,11.01065474,11.76107566,11.30868207,12.05134454,11.43362634,12.00619786,10.90954813,11.48483417,11.47065282
"CTBS",8.679584724,9.640680431,9.304790259,9.914476073,9.516340894,9.529183499,9.476054712,9.274088309,9.339246827,9.080621178,8.90384291
"CTCF",7.578019123,7.342202079,7.280302647,7.380252627,7.441531716,7.494431191,7.473275438,7.744279833,7.830796688,7.464858595,7.077906685
"CTDSP2",10.08487693,9.350855763,9.784635808,10.48100234,10.03386657,9.233806546,10.05670891,9.701057085,10.16889676,9.802270612,9.75165853
"CTH",11.79745741,11.5177944,12.59318885,11.39010548,12.02409807,12.38085893,12.05134454,12.18021836,11.9708252,12.08745604,12.6385773
"CTNNA1",11.16366795,10.97725935,11.08920606,10.72003293,11.01617395,11.13992404,11.01065474,10.58501343,10.82995833,11.21198685,11.4178704
"CTNNB1",7.755768446,8.368196094,7.738124489,8.121180491,7.931834372,8.499022913,7.49967434,8.003903398,8.372482934,8.347970757,8.039402536
"CTNNBL1",8.59735359,8.700712897,8.655519406,9.090385629,9.079431033,8.777067349,8.968467551,8.843418133,9.013367819,8.706295186,8.783621012
"CTSA",10.1800848,9.96766382,9.933204405,9.852047347,9.726205723,9.611670457,10.29897542,10.18402596,9.625541089,9.976400601,10.74853378
"CUL4A",8.793632826,9.245245704,8.934080672,8.99836834,9.280260198,8.997411082,8.746479437,9.336211132,9.628016432,9.501246378,9.284584407
"CUL4B",7.153209698,7.011079295,6.96714194,7.031781305,6.86405406,6.225009729,7.246217495,7.473275438,6.703327912,6.864372376,7.29146335
"CUTA",11.30102035,11.60535626,11.56424984,11.44609261,11.56424984,11.22684502,11.25410576,11.31041638,11.47213477,11.26335237,11.18199191
"CUX2",8.14153795,7.723679517,7.508542335,9.30066528,9.122091306,7.129654909,8.409784981,8.374733328,8.651078037,8.458590754,8.955528522
"CXCL12",9.878018567,11.15156708,10.87591402,9.832915513,10.08420818,11.02130437,10.4157311,9.973237314,10.77584532,9.374228407,9.185023337
"CXCL14",6.473384129,8.509001489,8.792132629,7.698810063,7.228962855,8.780275057,8.897546069,8.441104892,8.48871953,8.101497312,5.322546627
"CXCL2",10.38085608,9.46092105,10.00505849,10.65148744,10.04090364,10.34983901,10.44768535,10.50005159,9.249198757,9.790040853,10.03798115
"CYGB",8.141065084,8.772515355,8.360438902,8.379592543,9.085402662,8.269415796,9.628016432,8.047010691,9.175190569,8.870749711,8.049792433
"CYP1A2",8.945029351,9.527913755,12.82070463,12.39171862,12.41632877,11.40272892,12.80054949,12.43339971,13.14533742,12.75516335,6.517854437
"CYP26A1",7.191212833,7.584284655,10.40486524,9.401780421,9.137817007,6.28946179,7.612631278,8.404172056,8.561388594,6.477531138,9.368764881
"CYP2A6",11.75329918,9.847324246,11.04719063,12.54880496,11.15473132,10.44371862,9.609063715,11.3277166,9.983200558,8.620295777,9.497990281
"CYP2A7",10.43558983,10.85688608,9.430148754,11.0136339,11.34185592,8.445802713,9.754377825,9.788796659,9.556913399,7.650853065,9.748817983
"CYP2B6",6.568620978,6.325023091,7.311352438,8.401340796,7.286783583,6.2342497,7.4375266,7.052910668,7.027632848,6.650766821,6.028628645
"CYP2C19",5.54368978,5.654360943,6.07229641,8.363476497,6.815448011,5.615179989,6.654059307,5.843293532,6.904581821,5.6655261,4.904864063
"CYP2C8",13.86142442,14.02127598,14.03843718,14.61736932,14.13245093,13.88478851,14.33553286,13.83273195,14.39368931,13.86142442,13.80449977
"CYP2C9",12.67373701,12.64738135,13.53843449,13.9332178,13.57823608,13.01898566,13.32512952,14.00323717,13.97882553,13.1636676,12.05603485
"CYP2J2",12.28540314,12.22895343,12.23829541,12.21238156,12.0950816,11.9615907,12.01304545,12.88943183,12.49469362,12.27942591,11.20706103
"CYP2R1",7.373836172,7.15459071,6.853464233,7.235716743,7.476004981,6.939679943,7.399147806,7.455270273,6.890251068,6.734267159,6.974891682
"CYP39A1",7.427566304,9.068619281,9.182168465,9.601356093,9.569465301,8.995439156,9.370487775,8.803726603,9.805727211,9.275226387,8.357592289
"CYP4F12",10.20843747,9.966743326,9.827124477,10.55248522,10.22879373,9.715597252,10.77584532,10.22879373,10.261829,10.54802635,10.0487109
"CYP4F3",4.604122354,4.613031416,4.804375949,4.545065892,4.562164612,4.432154891,4.573364126,4.622840436,4.550970412,4.571382939,4.520906918
"CYP8B1",12.8975242,12.65386471,12.44093209,12.54206067,12.3603099,12.18512466,12.59979509,13.09268348,12.21728884,12.98388344,12.5212008
"DACH1",6.482266532,7.273313302,6.935626934,7.006414566,6.880200328,6.547946407,7.513550222,6.724725941,6.641681194,6.470374882,5.138696131
"DAP3",9.924460192,9.747990054,9.577880142,9.634658768,9.510799618,9.349166055,9.235914357,9.904078276,9.604674618,9.748817983,9.860093137
"DBF4",4.509136981,4.939821951,4.830900575,4.732505233,4.556040885,4.712310282,4.607226874,4.866087453,4.73174749,4.638338882,4.925030987
"DCAF11",9.209968549,8.866868681,9.195239554,9.863057319,9.570752928,8.704485573,9.880140063,8.780726166,9.361124208,9.316509724,9.336211132
"DCAF12",8.253810144,8.441535613,8.525978378,8.369961203,8.64017614,8.340614057,8.689879372,8.424948859,8.204778687,8.44029702,8.63146079
"DCAF13",4.727874098,4.893885921,5.134879352,4.701458545,5.060095857,5.060829281,4.622007294,4.659920232,4.97588178,5.107438301,4.876671884
"DCAF7",8.601998065,8.37558012,8.836477888,8.249056354,8.515640769,8.411184351,8.435071501,8.595046223,8.74602124,8.550705002,8.369961203
"DCK",6.217748904,6.769463874,6.454186933,6.116335343,6.292328108,6.501208336,6.112440897,6.844656885,6.834165834,6.711637284,6.463112556
"DCN",13.36997791,13.59583298,13.00195684,12.61960132,13.31588189,13.9332178,13.39444557,12.89378726,13.51737004,12.786411,12.30380746
"DCTN2",9.97485366,10.20593156,9.918171974,9.700271839,9.941144564,9.895606337,9.643287691,9.823441717,9.94429114,10.30157933,10.58501343
"DCTPP1",8.249445385,8.776632119,8.457742437,8.232567331,8.577724038,8.630553535,8.236156919,8.499966609,8.544365939,8.69356364,8.079547157
"DCUN1D3",8.779464965,8.779022862,8.129313493,8.670136556,8.257453936,9.124902145,8.828269865,8.351666172,8.454034257,8.338042484,9.164501429
"DDB2",5.569323034,5.496774526,5.661434441,5.706768697,5.436078186,4.919756298,6.001189112,5.484682701,5.300269391,6.160376277,4.994959351
"DDX20",4.954408062,4.883915632,4.638758837,4.618964646,4.876883481,4.75440711,4.75813089,4.979609456,4.647478214,4.605070637,4.9059054
"DDX39A",9.445506498,9.371707673,9.574652489,8.7969313,9.061978462,9.497990281,9.24467186,8.515640769,9.111761061,9.506231106,9.755690972
"DDX46",7.342525948,7.081431013,7.284992064,7.148932916,7.19383987,7.765830985,7.053607981,7.127961971,6.972373342,6.893331497,6.736127068
"DDX50",7.869927658,7.540786877,7.90816553,7.583838209,7.755125141,7.807277268,7.582772511,7.708517985,7.811646215,7.630750089,7.223047956
"DDX55",7.786265794,7.837181146,8.163532752,7.868021545,8.008966801,7.924986685,8.065452976,7.795550273,7.94460042,8.1756925,7.886105531
"DDX56",9.23749541,9.051404913,9.445506498,9.231232857,9.201140445,9.453691268,9.329574378,8.743208221,8.921817729,9.408289789,9.127089237
"DEFB1",12.50904872,14.49635619,12.77302399,12.20234792,12.6635191,11.87653757,12.56128661,11.5199346,12.76630827,13.56622596,14.10485116
"DEK",8.546019767,8.563952159,8.534264025,8.381727908,8.185374666,8.537319822,7.898344358,8.824911449,8.59735359,8.307885617,8.059989544
"DENND5A",9.425385234,9.124902145,9.347454914,8.927607988,8.792607851,9.235362993,9.222399264,9.090871539,8.898519346,8.793632826,9.209399671
"DENR",9.139999252,9.642076762,9.711738268,9.061471035,9.526775821,9.590605211,9.444246255,9.42708574,9.414680906,9.496667077,9.447424107
"DEPDC1B",4.872296135,4.794089706,4.660477639,4.950175161,4.87152181,4.798031729,4.672762338,4.718132038,4.704078448,4.633083245,4.813629851
"DEPDC7",7.339504314,8.2472673,8.655050347,8.754272209,8.661031502,8.412010474,8.293881927,8.957117918,8.99697156,8.262813882,8.661920134
"DESI2",7.931025901,7.770381884,8.599385529,8.036612704,8.859855777,7.882327914,8.264352099,8.192093894,7.679265323,7.716862526,8.136417459
"DFFA",7.642262967,7.568454813,7.357259364,7.535460029,7.618858082,7.083713483,7.592499858,7.320867455,7.341892099,7.154916228,7.805729648
"DGKQ",6.838324523,6.651683888,6.895469456,6.834459535,7.36178891,6.413303845,6.892684212,6.623168139,7.103846715,7.146078847,7.032117321
"DGKZ",7.693518841,7.376829307,7.324854771,6.937843489,7.690998779,7.339504314,7.681058452,6.371795768,7.23698217,7.059918114,6.563940083
"DHODH",7.091621873,6.799155235,7.185924557,7.459789968,6.989267155,8.520353646,6.775113149,8.30533291,7.339248405,8.177779242,8.312924579
"DHX16",8.489546328,8.397094149,8.152115762,8.228465129,8.317242299,8.314715599,8.493071327,8.32784374,8.397939194,8.033149183,8.444087558
"DHX30",8.763080285,8.594185053,8.558175479,8.443269624,8.489186848,8.265689973,8.601998065,8.307885617,8.329946661,8.672944493,8.366852274
"DHX35",6.987671623,6.484902811,7.134306664,7.366722399,7.060236718,6.93751777,7.344814563,6.856582466,7.13965643,6.763082381,6.629038003
"DHX57",4.745517653,4.935929224,4.768402079,4.884103097,5.19920374,5.149769751,4.778172704,5.084621988,5.024508736,4.688362359,4.963901814
"DHX9",5.994938374,6.421414092,6.309085275,6.432744436,6.415873186,6.977675848,5.6655261,6.841819094,6.610193789,6.500877223,6.775113149
"DIMT1",9.140495789,9.103723757,9.259962456,8.911644414,8.999843412,9.7326062,9.01893702,8.98049777,8.85454711,9.031239034,9.126008424
"DIRAS3",5.31052373,6.349000636,5.553565653,5.996397681,6.302765601,6.12538323,6.456227808,6.208184217,6.13036598,5.823930053,5.101092183
"DISP1",7.365988025,7.68735189,7.838635412,7.710226915,8.071877488,7.234368199,7.992856057,7.518603592,7.880597652,8.215431108,6.473706147
"DKC1",8.882001939,8.616226449,8.861287232,7.889255992,8.59735359,9.092905994,8.75779916,9.381013436,8.674447884,8.940936707,8.559469227
"DLEU2",4.97588178,4.869623977,4.656273076,4.783494955,5.074534047,4.885436802,4.77025432,5.045070463,4.744348668,5.176027726,4.560884287
"DLG5",4.716938184,4.742498516,4.695696079,4.589317524,4.872638273,4.514240372,4.714762686,4.54140823,4.512619094,4.651352351,4.551082929
"DLGAP5",5.241842183,5.086311993,4.815857762,4.737414554,4.753880428,4.729480038,4.551881005,4.76772481,4.658064853,4.657805218,4.590290574
"DMGDH",9.286291552,10.37401848,10.23661147,10.80884226,10.3261583,10.05268466,10.59375405,10.53112689,10.52708467,10.18325484,9.30783978
"DNA2",5.942394229,5.959537953,5.968555034,6.08167445,5.886663945,5.7694258,5.923621413,5.687776332,5.97265351,6.288011623,6.327430213
"DNAH14",4.737688205,4.803118573,4.861126757,5.147158653,4.721797752,4.825300079,4.854171585,4.79958954,4.831290734,5.127479839,4.752668982
"DNAJC14",6.656254032,6.538149431,6.178287913,6.476937243,6.389666089,6.323550497,6.117175752,6.910804434,6.624056589,6.445418519,6.496237469
"DNAJC2",4.374593403,4.532284047,4.623179133,4.427503975,4.601849402,4.511281872,4.499563754,4.600758591,4.580583268,4.475950184,4.603674979
"DNAJC25",8.933036259,8.848686266,8.926998856,9.518165991,9.260496649,9.031239034,9.066539225,9.212415612,9.199537288,8.69724622,8.46418325
"DNAJC5",6.303248972,6.630129465,6.345379466,6.474200364,6.327682091,6.188944262,6.307941031,6.249556032,6.463677662,6.364072488,6.666688222
"DNAJC6",4.718942701,4.648016209,4.688031116,4.89928341,5.243527099,4.74913786,4.886526952,4.867092763,4.857371296,4.920459205,4.772099066
"DNAJC7",7.397987754,7.631095728,7.657632871,7.691821616,7.733851007,7.50356227,7.974327165,7.639934602,7.879479761,7.41670361,7.407687407
"DNAJC9",8.481396871,8.47961753,8.610946678,7.894909339,8.318084583,8.547765035,8.161381957,8.272242723,8.188087385,8.497727316,8.320755648
"DNALI1",9.136162559,9.268142356,8.722133795,9.311927734,9.189969297,9.395104629,9.610346925,8.317242299,8.98364763,8.326561565,7.767196142
"DNASE1L3",9.268142356,10.68076519,11.51023027,11.14579387,11.27815026,11.15917915,12.1825887,11.45897433,11.13838925,11.42259679,9.303595472
"DNM1L",6.988979357,7.349627583,7.060973458,6.742412353,7.351304292,7.718876365,6.24446556,7.305793236,7.3157363,7.228016123,7.69219489
"DNMT1",9.644485386,9.584105638,9.830792596,9.245888862,9.355040991,9.872165462,9.558188081,9.352681618,9.695716355,10.10480267,9.615980262
"DNMT3A",5.013463371,5.149322069,4.737391637,4.946530738,4.756085026,4.860922473,4.656080135,4.837194774,4.810231866,5.024508736,4.729943269
"DOCK5",6.008559872,6.321030187,5.934209021,5.864028486,5.87921681,5.743809372,6.236124487,6.175801207,5.912439629,5.854919282,6.786278892
"DONSON",6.032661142,6.1606565,6.888570102,6.346224713,6.36969592,6.655555331,6.543167719,7.009047426,6.518737823,6.045386704,7.003164203
"DPCD",6.611759115,6.662268335,5.961102231,6.459600917,6.715166392,6.58252316,6.414442252,5.908708603,6.066462812,6.483740483,6.439355182
"DPF1",5.096910918,4.975606298,4.704161158,4.841323242,4.865812912,4.840875608,4.814786369,4.676630078,4.774837728,5.231194929,4.681277363
"DPF2",8.239130141,8.29318755,8.273455315,8.210478989,8.506747847,8.198705653,8.298592131,8.031540822,8.205601892,8.370395696,8.243261861
"DPF3",4.644712618,4.699439981,4.860735498,4.64969791,4.835081692,5.072640402,5.93173833,4.710392015,4.779673208,4.827647622,4.643739163
"DPM2",7.609360151,7.262761678,7.26350194,7.377817496,7.268053481,6.737935713,7.098645548,7.171641928,7.408091978,7.384874008,7.300447117
"DPM3",9.577880142,9.658588252,9.845217245,9.842932921,9.777699119,8.860802712,9.615980262,9.028611405,9.594338378,9.830080423,9.636780044
"DPP8",7.226405746,7.004759005,7.183500321,6.960751333,7.229585776,6.967398321,7.188990864,7.228016123,7.314489362,6.985120953,7.131281814
"DPY30",9.185023337,9.621181215,9.67331702,9.638882085,9.625541089,9.240767688,9.608440992,10.03386657,9.895606337,9.75165853,9.675358489
"DR1",5.609300858,6.24200797,6.240065738,5.914667739,5.810702627,6.0805569,5.874528078,6.550576674,6.004539092,5.872261755,5.797985746
"DRG1",9.034270856,9.370006488,9.029608,9.083279593,9.503115305,9.382855326,8.715244693,9.594902293,9.461517852,9.153605771,9.573364142
"DROSHA",7.44765875,7.126586785,6.9739126,7.399815196,7.235716743,7.067102194,7.236020854,6.747566542,7.054679314,7.107903126,7.543321129
"DSE",8.098780961,8.633299288,8.386057233,7.956885998,8.157493236,8.836477888,8.710560727,8.035876632,8.161817602,7.594938685,8.454549264
"DSN1",5.833929373,5.962641973,6.641053219,5.697673181,6.302999588,5.766244114,6.141638418,6.37405524,6.320166234,6.811603338,6.35109921
"DSTYK",7.674976331,7.184859456,7.246217495,7.446368853,7.561686245,6.906698085,7.37416925,6.54586094,7.212424917,7.502101176,7.718531172
"DTL",4.952833228,4.898203666,5.15212456,4.635446578,4.938043343,4.48619774,4.79083113,4.962574063,5.030520809,4.865624401,4.758584538
"DTX1",6.395596267,5.925186375,5.990587481,6.43884598,6.059557894,5.861500381,7.038597502,6.473384129,6.273786083,6.156886415,5.471206373
"DTYMK",6.885841803,7.58163325,7.300805075,7.023539179,7.546936022,7.224386003,6.769108665,7.575009026,7.220645489,7.890639784,7.527859181
