"","C-1","C-2","C-3","C-4","C-5","C-6","C-7","C-8","C-9","C-10","C-11","C-12","C-13"
"AACS",6.121831498,6.370313702,6.133659295,6.6293345,6.440776247,6.100134719,6.053148258,6.23865048,5.946120882,6.534317352,6.571701927,6.030166076,6.264619597
"AADAC",11.70940783,11.98626396,12.28832837,11.44609261,11.78861852,12.08510184,11.19684561,11.71585916,12.09790659,11.81332486,12.02595694,11.07706695,11.733921
"AADAT",10.34351871,9.935478937,10.33228803,7.977846479,10.08653318,10.35989338,10.27329989,10.54498964,10.29711945,10.15204325,11.09614543,9.567505037,10.22240262
"AARS2",7.758999922,7.599662952,7.642557014,7.663124823,7.940918693,7.811227391,8.073534916,7.971143722,8.215829481,7.735832233,7.927597396,8.307445502,7.831551961
"AATF",7.614535881,7.854313718,8.064314554,8.311766759,7.97981732,7.734246852,8.457742437,8.145353519,8.374236093,7.938276123,7.751553019,7.841992438,8.097959697
"ABAT",8.987691888,8.511343138,8.80742561,7.236608625,8.956562697,8.87034861,8.714248854,8.491806919,8.458192448,8.837838996,8.946114688,8.073534916,8.708703791
"ABCB4",9.527364905,10.33998736,10.07870393,9.176854139,9.740287616,10.41931077,9.267055048,10.64506245,10.05344095,9.862304843,10.33714272,10.3934097,10.64506245
"ABCC5",7.566729646,7.314137184,7.435280387,7.219969085,6.843365163,7.719250359,7.981296758,7.925780896,6.424621239,7.647947767,7.121194495,8.822560572,7.425183362
"ABCF1",10.24923615,10.30324346,10.4582021,10.74359336,10.09825926,10.18806151,10.45626757,10.49424346,10.78783991,10.71882651,10.23474991,10.52507956,10.47909061
"ABCF2",6.617303771,6.055937484,6.694290668,7.31542185,5.619765589,6.593115331,6.389131854,6.111156748,7.209408195,6.565650991,6.339957775,6.396461692,6.517854437
"ABHD2",7.183169498,7.575009026,7.402235722,7.067102194,6.94291473,7.077564342,6.614438915,7.253376151,6.927904496,7.603282167,7.336852529,6.630704942,7.280934379
"ABL2",4.706704181,5.077621097,5.189477101,5.69042825,4.682608652,4.745658174,5.063282509,5.055948556,5.065284433,5.431361054,5.088698282,4.838795287,5.037537595
"ACAA1",11.73987464,12.59979509,12.51828912,10.50005159,10.94241912,11.2844856,11.31563832,11.83528934,12.15477543,11.68258783,12.23829541,11.81683117,12.54206067
"ACAA2",11.54388908,11.80746945,11.30728357,10.0494748,10.46505057,10.91226497,9.698366057,10.76747187,11.71585916,11.10204031,11.63460924,10.46102591,11.3883764
"ACACA",8.412010474,8.816812843,9.122577132,7.35569381,9.297302906,8.011818883,8.481843118,8.296489794,8.193809466,8.221478385,8.400953081,8.354977123,8.174078037
"ACACB",11.03040074,11.39146515,11.16674301,9.212806702,11.30416877,10.96074468,11.52195652,11.49902488,11.32608155,10.97326186,11.26170068,10.92505235,11.23024972
"ACADM",11.98626396,12.19274671,12.10484123,11.23377817,11.08112973,11.71369663,11.36201014,11.98392076,11.81872006,12.07068235,11.97908712,11.90859616,11.94185107
"ACAT1",13.52226347,13.82624506,13.32512952,12.46444583,13.13246103,13.69099711,12.98015078,12.96726672,13.10268542,13.69771022,13.28663168,12.90165276,13.441134
"ACD",5.892564236,6.327152002,6.188088069,6.642298733,6.709805911,5.895719972,5.915468859,5.860263512,5.630403814,6.096746087,5.880945219,6.271038986,5.927725487
"ACLY",9.045174355,9.120374823,9.249198757,9.878691825,9.486682446,9.24467186,9.14279387,9.369457945,9.292916079,9.512017055,8.699166839,9.543375458,9.061471035
"ACOT4",9.075727341,8.919771722,8.788271967,7.999518281,8.677728634,8.792132629,8.984631153,9.282981153,8.454034257,9.155719231,8.967031725,8.613189769,8.921817729
"ACSL1",11.04156773,10.78783991,11.09190919,10.0415506,10.77709231,10.13954841,9.716281745,10.96198171,10.84785674,11.24677998,11.18947982,11.21824977,11.06745893
"ACSM3",10.5389765,10.6894597,11.09896552,8.733352113,9.976400601,10.07945735,9.979419874,10.32137183,10.43362155,10.22790057,11.09468961,9.360134272,11.16366795
"ACTB",13.57218662,13.09268348,13.0844763,13.96335229,13.11063758,13.63920062,12.70743158,13.62633342,13.13625446,13.46716033,13.080132,14.00323717,13.24494061
"ACTG1",14.1501375,14.02127598,13.818766,14.50975569,13.40020405,13.83989029,13.30631135,13.78332094,13.67864909,13.90041796,13.66440172,13.99478896,13.3299247
"ACTG2",9.631886703,5.566819134,5.564577996,8.228896504,8.931550003,6.943983462,6.869409274,5.724435754,7.302790721,7.827714589,5.27097644,5.999598626,5.47812201
"ACTL6A",9.505635937,9.129243141,9.045174355,9.564801289,9.167143202,9.201140445,9.159415671,9.051902519,9.001427056,9.182808813,9.19680835,8.986715836,8.835038133
"ACTL6B",4.685723344,4.588109991,4.695959878,4.627252754,4.695751885,4.681277363,4.713278705,4.539697818,4.501191942,4.612285812,4.487512593,4.692902625,4.579619779
"ACTR3C",4.775082719,4.789086466,5.108679687,4.754489927,4.855251709,5.060350052,4.884656443,4.847147639,5.424326681,5.122429748,4.80727132,4.903673539,4.682173861
"ACTR6",8.146575536,7.656963915,7.758335117,7.814290796,7.971512155,7.813917316,7.790341279,7.90816553,7.185575807,7.755465006,7.8816854,8.053660093,7.650111463
"ACYP1",6.61938833,7.044258435,7.175497529,7.111627845,6.891124536,6.955914838,6.504549405,7.438766937,7.249254726,6.706760197,6.840478042,7.654575406,7.265487321
"ACYP2",8.925432751,8.990781685,8.681581257,7.754417404,8.986220432,8.884629134,8.918108895,8.807890282,8.476604587,8.950939059,8.941972885,8.011055536,8.493983283
"ADAM9",6.172421121,5.456955047,5.761209925,7.822750454,5.90990565,6.300502824,6.02708685,5.994938374,5.901942183,6.736754735,6.199538632,5.976806377,5.771844286
"ADAMTS1",7.536102755,7.568454813,6.695913462,10.26618982,6.927584392,6.47102109,7.451484174,7.384874008,7.878800763,8.1756925,8.095530137,6.948023442,6.885552784
"ADAMTS13",6.25195591,5.936002312,5.609125791,5.461280035,5.42709027,5.091407444,5.712848773,5.369594824,5.074250132,5.865580794,5.428037627,5.205906492,5.642777492
"ADAMTS5",5.470439289,5.192207397,4.745723765,5.494305778,4.846728615,5.078509908,4.665353612,5.326962129,4.450179098,4.677376363,4.802526204,5.044288578,4.6380304
"ADAMTSL2",10.64506245,9.882403744,9.896499108,12.51226009,10.02113475,10.18565506,10.35151726,9.653184335,10.72251025,10.71341186,9.703306081,10.55800258,10.10552914
"ADAMTSL3",7.052593746,6.367103756,6.714567492,6.698760598,6.402642951,6.715526187,5.960360515,6.890251068,6.818972606,7.057472385,7.015210865,6.155149276,6.337224479
"ADAR",10.87591402,10.55675486,10.31323864,10.55800258,10.55800258,10.92505235,10.84537878,10.7354771,10.41470192,10.59483434,10.57408616,11.3433554,10.68209558
"ADH1A",14.85989068,14.70576835,14.83241999,13.25882784,14.83241999,14.76792872,14.84525398,14.88516255,14.47475707,14.38078954,14.82126215,14.70576835,14.88516255
"ADH1B",12.57761588,11.68442144,12.02595694,9.258273801,11.94839989,11.63957687,11.60535626,12.21238156,11.35169469,11.67702825,12.21477969,11.82505252,12.3603099
"ADH1C",13.97174048,14.02956106,14.10485116,11.53418496,13.6203222,13.38424707,13.37459462,13.818766,13.16789006,13.18503779,13.63920062,13.42633885,13.99478896
"ADH4",13.9332178,14.03843718,14.17885461,10.73428441,13.38424707,13.51160177,13.58877583,13.45127798,13.23181866,13.22602179,13.90982983,13.66440172,13.87601694
"ADIPOR1",9.983200558,9.657935001,9.807769385,9.731021944,9.721505472,9.865832382,9.755059601,9.667199638,9.543946726,9.82422973,9.96766382,9.675358489,9.775414931
"ADK",10.57290248,10.37715161,10.62171264,9.230013323,10.71213449,10.59891882,10.43743675,10.62490192,10.44067709,10.19831915,10.4516012,9.978661238,10.68534241
"ADNP",6.532008007,6.677655098,6.997318829,6.59710901,6.001447682,6.17553801,5.93326475,6.024014572,6.563330483,6.772638605,6.770724388,6.853782982,6.359024181
"ADRA1A",6.484044597,7.542568098,6.984552859,5.383709683,6.23919782,6.826416942,6.525929981,6.602417444,6.780285905,6.896998387,7.205492224,5.423486029,7.594938685
"ADRA1B",8.510379915,8.587906995,8.71935211,8.866443414,8.37558012,8.749553518,7.960383615,8.328227293,9.582365624,8.768301183,8.432126934,7.830431397,8.253385039
"ADSL",10.02272499,10.16220967,10.18325484,10.09119906,10.32961794,9.845951639,10.48810068,10.2838953,10.09743153,9.779922575,9.965098474,10.30773207,9.988486367
"ADSS1",8.719852701,9.093957502,8.889612343,10.05190951,8.429241681,8.651078037,8.19793267,8.586442905,8.033463657,8.259255509,9.031730842,7.437000052,9.230626676
"AFP",7.959229449,9.278481451,8.923872922,5.741093797,8.601998065,8.194707953,8.106304113,8.878851561,7.678904522,8.612364533,8.906440963,8.63508287,9.314228087
"AGAP1",7.262761678,7.615893254,7.389730003,7.380252627,7.663528367,7.086654168,7.684460034,6.819862795,7.715699677,7.031113398,7.472584311,6.479843875,6.838324523
"AGAP3",7.390433753,7.498226679,7.546167016,7.332102532,7.728783927,7.619152856,7.807897293,8.199054311,7.405331921,7.932208823,7.404630378,7.50435163,7.78996311
"AGBL5",6.836478594,6.878939808,6.438230764,6.668242766,7.125773868,6.615448946,6.644863492,6.804386797,7.100869335,6.758501413,6.90919331,6.897601412,7.166343586
"AGGF1",8.192923907,7.964573689,7.950761621,8.098780961,8.101085638,8.152868326,8.210862838,7.615535923,7.77221147,7.685174718,8.057526556,7.850751046,7.603282167
"AGL",10.71664251,10.31680803,10.06631232,8.662290342,10.21715697,10.12239327,10.05759998,10.77709231,9.973237314,9.89206215,10.42134448,10.47909061,10.43459892
"AGPAT2",9.063997127,10.10806281,9.081099273,8.700183961,8.60281441,9.621876053,8.971602176,9.577880142,9.581122239,9.606544623,9.141153477,9.1059077,9.766645099
"AGTR1",10.09119906,10.07714853,9.96849307,10.22399361,9.427608213,10.14038427,9.423753395,9.853545831,9.738122143,10.11284531,9.582921698,9.162253686,9.515736796
"AGXT",14.26076236,13.74239459,14.12361439,12.84542045,13.82624506,13.94063792,13.69771022,13.79780687,14.14098906,13.83989029,13.87601694,13.31588189,14.02956106
"AGXT2",10.85568605,9.970126657,9.763295207,7.999049483,9.487937111,10.20332724,9.523011287,9.245245704,9.205985338,9.513191153,9.759164366,9.192302356,9.696439794
"AHCTF1",8.332910669,8.14613237,8.253810144,8.361727402,8.324828058,8.182836311,8.234948872,8.583697906,8.246896031,8.041023965,8.395518253,8.039402536,8.1756925
"AHNAK",10.29509774,10.02908094,10.1470745,11.1711585,10.15705234,10.26795102,10.28735351,10.18402596,10.56107612,10.65691168,9.954623607,10.44577215,10.05759998
"AIDA",6.386352398,5.911354815,6.228559027,6.389131854,5.995629203,6.269702546,6.54586094,5.981996799,5.712848773,5.913141738,6.266605271,5.43738596,5.674027995
"AIFM2",5.116947265,5.289355639,5.248389389,5.446503861,4.809925633,5.097854857,5.809537774,5.150059439,5.172472454,4.852917268,5.659351868,5.48133162,5.297071594
"AIG1",10.1338408,9.832915513,10.23474991,8.931550003,9.993032968,10.19072082,9.96849307,10.14869241,10.03068256,10.27412986,10.29227634,9.915282221,10.2153195
"AIRE",12.01976834,12.12824671,12.20759473,12.49469362,12.06116798,12.35773002,13.19774397,12.83862959,12.84931916,12.92071092,12.63221037,12.84542045,12.44093209
"AKR1B10",4.517715087,7.411750291,8.626842421,6.680900556,8.532209067,6.859312739,8.729049083,7.028249996,6.676470517,5.76897188,5.438825268,7.048183102,5.527687051
"AKR1C3",12.31991831,12.5274452,12.92430981,11.39146515,12.96726672,12.0731448,12.7347023,12.50026446,12.62234706,12.12181271,12.80054949,12.21477969,12.72829716
"AKR1D1",13.79129124,13.94794803,14.00323717,13.52226347,13.9332178,13.97174048,14.35779379,14.1501375,14.01238028,14.07918801,14.26076236,14.10485116,14.18968283
"AKT1",10.84785674,10.80356644,10.24593026,10.52507956,10.59585088,10.94500039,10.52792343,10.58936896,11.07706695,10.8417047,10.61360626,10.69071512,10.71458291
"AKT2",5.063628544,5.466961826,5.207746507,4.83181398,4.947237029,5.024508736,4.708927464,4.709721549,5.044374255,4.727665874,4.749309528,4.739247266,5.246886054
"AKT3",4.894726795,4.695227049,4.644100469,4.969076688,4.937235111,4.858300152,4.809227167,5.465664881,4.799229768,4.782003565,4.641976206,4.713026705,4.785407689
"ALB",15.23776273,15.26451205,15.14108917,15.19076697,15.17334396,15.10558798,15.23776273,15.23776273,15.19076697,15.0607914,15.0772174,15.23776273,15.26451205
"ALDH18A1",7.662422299,7.969165535,7.791027546,7.597156145,7.90366542,7.929127083,7.602270339,8.129313493,7.156225498,8.264352099,7.200579829,7.973129135,7.619152856
"ALDH1B1",8.363476497,8.087654127,8.516922795,5.757572426,7.715309323,6.917860521,7.495500769,8.353310003,7.568103702,6.94291473,8.752917105,8.088015157,9.195239554
"ALDH2",13.080132,12.90515732,13.11063758,12.10744424,13.11919711,13.00657426,12.77302399,13.04331008,12.8072477,12.70045584,12.86449116,12.94305378,12.93923195
"ALDH6A1",12.58696283,12.17796084,12.94305378,11.57335318,12.26886494,12.59637904,12.37042036,12.19509905,12.23575128,12.28540314,12.69027383,12.0950816,12.56429194
"ALDOB",15.0607914,14.91808255,15.12138914,14.70576835,14.96826165,14.80654541,15.0607914,14.96826165,14.95567559,14.74381914,14.84525398,14.82126215,14.91808255
"ALG6",7.15459071,7.545105088,7.48633728,6.625019619,7.32415452,7.039735501,7.250345125,7.185924557,7.04200559,6.968673369,7.226785228,7.594938685,7.449240361
"ALPL",10.76140523,10.90954813,10.85308972,10.63731757,10.824755,11.75123487,11.35869823,11.13081598,11.3701911,11.22273838,10.5229167,10.2474895,10.83417996
"ALYREF",8.207627415,8.493983283,8.430067441,8.662810669,8.685883364,8.267305798,7.905855085,7.632947027,8.298592131,7.895664353,8.329099485,8.135251869,7.943116811
"AMBP",11.24328344,11.21040909,11.08365555,9.555009806,11.1711585,10.87970951,11.10204031,10.31019862,11.00824054,10.49322243,11.34026353,10.09655164,11.3701911
"AMDHD1",11.83969745,11.2283822,11.6454891,10.20332724,11.4491347,11.07706695,11.70940783,10.98636934,11.8012701,11.34674671,11.74354666,10.52792343,11.82118996
"AMZ2",9.807139219,9.712496308,9.781169168,9.685973836,10.20427565,9.838455007,10.07457178,9.651777255,9.098877525,9.379217586,9.747990054,10.13695436,9.931845914
"ANAPC11",9.347454914,9.674770565,9.723435868,8.727695031,9.742376799,9.401251402,10.06464548,9.560882994,9.634658768,9.479579067,9.731737609,9.598137028,9.741661123
"ANAPC5",10.17226721,10.16733978,10.34711695,10.08961945,10.51032271,10.34432673,10.44067709,10.0873017,10.34608255,10.1479597,10.05759998,10.49424346,10.43252824
"ANAPC7",5.134879352,5.255560548,5.042884851,5.282486641,4.974428388,5.136945645,5.119728908,4.7551976,4.655432058,5.061676564,5.303166019,5.1800158,5.035802203
"ANGEL2",8.862835391,8.904925231,8.879350385,8.918108895,8.880925642,8.585583435,8.775813638,8.52383474,8.657680111,8.317242299,8.586773675,8.669290999,8.553557385
"ANGPTL1",4.789534398,4.825817959,5.160903733,5.214353184,5.178625744,4.902606231,4.982707543,4.981358238,5.400692304,5.162366821,5.188741809,4.741034426,5.220907679
"ANGPTL6",9.138357081,8.915620752,8.691255219,9.151896825,8.504120119,8.372896167,8.469909317,8.506747847,8.386977066,8.808900062,8.647866363,8.412010474,8.816295818
"ANK3",6.581924902,6.147668388,5.808093046,7.368406377,6.028628645,5.944414181,5.679517457,5.837483325,6.162074246,6.445747016,6.004028324,5.963869229,5.810452316
"ANKH",4.651635363,4.638488899,4.540771641,4.803577061,4.638570872,4.78665916,4.507528209,4.390439291,4.400890925,4.405207089,4.404622268,4.563849443,4.713565619
"ANKRD27",4.688466993,4.627609187,4.786798002,5.097212163,4.577880266,4.568869936,4.596993395,4.58531333,4.618330143,4.613781681,4.787837294,5.243014681,4.953200832
"ANKZF1",7.177212331,6.998010192,7.159514794,6.244177438,7.017454887,7.014896382,7.728315511,7.14757317,7.211431791,7.451106409,7.296984711,7.127282462,7.119775642
"ANLN",4.534578547,4.54888522,4.589506848,4.576820681,4.590621316,4.496444785,4.539851574,4.630170523,4.690846747,4.37286406,4.710072523,4.801758223,4.677956328
"ANP32B",12.04236512,11.70341082,11.76519759,12.33878806,11.81139984,11.5588562,11.72586247,11.3372086,11.79745741,11.55308009,11.67895245,11.78183168,11.4242149
"ANP32E",4.6282374,4.503611397,4.488749463,4.529305521,4.509067304,4.539198431,4.562444133,4.557931561,4.410829871,4.554112785,4.494207402,4.554281127,4.515102963
"ANTXR2",9.48852727,9.202659423,9.196295866,9.578503318,9.552521207,8.829347003,9.127722591,9.348094595,8.811367895,9.087896108,9.187144323,9.238644586,9.081099273
"ANXA10",12.08994519,11.5177944,11.29113806,10.63070834,10.83417996,11.80553648,11.81683117,11.63806602,11.52398261,11.57335318,11.58644237,10.56209027,11.58252047
"ANXA3",4.531595267,4.384943665,4.420019529,5.232237912,4.483337106,4.472931081,4.569792636,4.77757557,4.446207388,4.425391489,4.402689488,4.430755523,4.440285669
"ANXA4",5.689964016,5.980993756,5.840627423,6.837063189,5.908481865,5.859798234,5.733038724,5.954617186,5.866093526,5.07335101,5.957196814,5.942628579,6.016994905
"AOC1",4.812746784,4.729943269,4.547157156,4.597682971,4.931618926,4.715199217,4.735444576,4.548139733,4.557514988,4.540625123,4.574523849,4.694372439,4.567969959
"AP1S1",8.357592289,8.750009473,8.57248378,7.840313617,8.210090648,8.472166155,8.163941936,7.818097702,8.596405586,7.760195824,8.643753488,8.183286356,8.754272209
"AP3B1",9.784635808,9.182808813,9.188250711,9.67331702,9.49355499,9.507408663,9.516869736,9.258833109,9.269879832,9.611048679,9.256161358,10.03068256,9.282981153
"AP3S1",8.898048723,8.917059517,8.985136266,9.172450027,8.59289709,8.923379767,8.83361476,8.283590828,8.490523999,8.732912495,8.574690784,8.144908512,8.171262926
"AP5M1",7.800472728,7.421887521,7.829197506,7.320180289,7.908518825,7.627876136,7.475677879,7.424061104,7.509297871,7.596854068,7.522421869,7.50356227,7.640605535
"APBB3",9.374228407,9.521927797,9.410598386,9.7409538,9.391309022,9.667933905,10.09277391,10.12979794,9.368217678,9.987148495,9.462763249,10.00574988,9.508585467
"APC",4.443491245,4.526114284,4.6115801,4.430018141,4.392339783,4.537383086,4.439271527,4.525137206,4.478958268,4.600587166,4.461390729,4.578518286,4.487670051
"APC2",4.50701614,4.729856726,4.751436965,4.660197485,4.52269907,4.617223317,4.640713148,4.558645495,4.868283245,5.198602357,4.741589862,4.687036664,4.733327844
"APH1A",9.586746461,9.296242261,9.22777925,9.683300385,9.839216374,9.787482799,9.621876053,9.928850001,9.653184335,9.347454914,9.529783601,9.85032107,9.785955548
"APIP",8.037376362,8.210478989,8.195480403,8.022202596,7.958064271,8.153673429,7.614535881,7.890288217,8.218616164,8.262813882,8.39027959,8.179772392,7.934780683
"APOA1",14.54445284,14.66853289,14.5929164,14.1501375,14.64302885,14.42873769,14.49635619,14.60709083,14.70576835,14.71824933,14.49635619,14.69145717,14.75528207
"APOA5",11.53624726,11.63105609,12.27445821,7.940568813,10.67505152,10.45732096,10.16220967,11.86105046,9.321962328,11.00688298,12.63547489,10.87591402,12.20234792
"APOBEC3B",4.399299576,4.720441553,4.579968694,4.843488626,4.523515376,4.660942247,4.531942697,4.635785274,4.767712404,4.608362819,4.506446528,5.054027786,4.588787109
"APOC3",15.19076697,15.17334396,15.19076697,14.75528207,15.09185498,15.17334396,14.96826165,15.17334396,15.12138914,14.95567559,15.19076697,14.96826165,15.10558798
"APOF",12.75233178,12.33624471,12.27704764,11.97908712,11.88547069,12.52414736,12.53645923,12.39439381,12.68680402,12.87882934,12.46155141,12.17796084,12.29104773
"APOH",13.19774397,13.43605545,13.28663168,12.48653467,13.09737465,12.80054949,13.15958776,13.0844763,13.37459462,13.15958776,13.27795325,12.86449116,13.36997791
"AQP1",5.143724545,4.816710256,5.076899065,7.35300761,5.187409586,5.599511489,5.424326681,4.993964725,5.940905021,5.004749803,4.761811189,5.491303589,4.709514759
"AQP3",4.452492569,4.507562934,4.586641683,4.835351321,4.492488503,4.741636543,4.405524398,4.584698938,4.635676526,4.685723344,4.411809635,4.448827462,4.744902793
"ARF1",11.01738214,11.02579147,10.95193069,11.59962878,11.20144968,11.14133868,11.04582698,11.15018465,11.02899071,11.39441485,10.96198171,10.99624612,11.02276313
"ARHGAP10",8.287945242,8.542376613,7.433646115,7.550749085,7.869927658,6.817120849,6.806755482,8.988210102,6.500877223,7.323505985,8.947217625,7.890639784,8.2120732
"ARHGAP11A",5.162822038,4.857536656,4.995909065,5.003522954,5.038734171,4.807892666,5.062827241,5.074701796,4.910794076,5.108679687,4.819443428,4.819789615,5.223374248
"ARHGAP19",7.590920241,6.961069677,6.763082381,7.341892099,7.403237759,6.648612976,7.302467095,7.339248405,6.654059307,6.991471002,7.43255475,7.637799941,7.052270507
"ARHGEF11",5.623830382,5.688882702,5.725344098,5.655724727,5.916860319,5.91366956,5.222727239,5.648241791,6.036302421,5.50070105,5.713507171,5.88540343,5.826363943
"ARHGEF26",5.426926907,5.158824399,5.178513309,4.740949095,5.032729922,5.23921668,4.750384822,5.050647176,5.607981132,5.687776332,4.917733785,4.548456462,5.238414817
"ARID1A",9.610346925,9.169425621,9.124309474,9.522477305,8.771099424,9.174553818,9.342729956,9.126008424,9.543375458,9.638200396,9.400059546,9.30019769,9.259374001
"ARID1B",7.586061112,7.779410275,7.188990864,7.792854832,7.762092086,7.624768742,7.33987937,7.679946262,7.812808138,7.423696391,7.467146103,7.624768742,7.738844691
"ARID2",6.290674738,5.581772832,5.502451078,6.552939109,5.719734748,6.152210172,5.751205709,5.299059234,5.775926105,5.363388956,5.273333575,5.330570376,5.556052383
"ARID3B",7.009720881,7.387736872,7.088977985,7.329189947,7.106950652,6.890560839,7.159200791,6.729225085,6.820857216,7.424433465,7.21275929,6.810997179,6.685316009
"ARID4B",8.914168083,8.731374953,8.99697156,8.915157148,8.576414835,8.677281248,9.116124964,9.422423477,9.234852387,9.173003163,8.821102459,8.785046033,8.54857993
"ARIH2",9.324357492,9.308382925,9.220636416,9.387970529,9.239616032,9.202659423,9.526198287,8.930523286,9.678600068,9.030142327,8.922878323,9.212806702,8.798822943
"ARL15",5.270293,5.572317734,5.8997108,5.37514835,5.866848856,5.798464165,6.034215283,5.999343117,6.233213549,5.870407252,5.755773722,5.639586532,5.659750373
"ARL6IP6",7.469405998,7.018730991,7.438403674,7.669399127,7.102874178,7.380581169,7.178188514,7.391394679,6.634274275,7.049464795,7.089328445,7.538907611,6.783781205
"ARMC1",8.208804824,8.245149017,8.103460423,7.626816363,7.999872947,7.782070588,7.87498787,8.003903398,7.838635412,7.987161681,8.273066673,8.138866906,8.093961329
"ARMC6",7.74999271,7.803029516,8.189726362,7.049140788,7.814290796,7.607520102,8.066188385,8.181271162,7.766154022,6.989620854,8.444955235,7.596854068,8.560500089
"ARPC1A",10.12391645,9.684020751,9.823441717,10.02355915,10.26795102,9.923598403,10.53226754,9.637449338,9.840751737,9.761182311,9.859397972,9.89206215,9.718284963
"ARRDC4",6.886451777,7.460867687,6.823928292,6.395036414,6.590662404,7.101462556,6.074444602,6.458950076,6.945208115,6.227379193,6.629879342,6.855017261,7.213137002
"ARSJ",5.046628432,5.250069061,4.746941333,6.785047882,4.737820268,4.944413076,4.949876982,5.042884851,4.763685614,4.686862019,4.703200016,5.008280833,4.830828325
"ASAP2",6.28614977,5.175212983,5.871136658,6.743376675,6.054617111,5.625319376,5.337570706,5.249380506,5.908924041,6.464623341,5.655242147,6.594913218,5.870407252
"ASH1L",4.862978158,4.745016213,4.606067338,5.015721145,4.807074052,5.090091334,4.74791623,4.637546239,4.838589735,4.710950728,4.643935111,5.031135171,5.112572759
"ASL",9.158320809,9.42708574,9.205985338,7.258795968,9.138905606,8.617556915,9.317708166,9.202659423,9.49996051,9.381013436,9.359073578,7.556719118,9.041493662
"ASPA",6.417671082,7.330704693,7.652059816,6.078179177,6.270465316,5.191705476,5.676424153,6.819546982,6.746074419,6.479843875,7.638189809,6.235255461,7.014204021
"ASPH",5.97991088,5.957707561,5.725554666,6.548641443,5.465502581,5.91040172,5.404048846,6.075275649,6.332657571,6.781221102,5.324022951,5.676424153,5.423988598
"ASPM",5.349063987,4.992717933,4.916842557,4.739109718,5.815888562,5.187642712,4.646299567,5.499619865,4.727438732,4.475250672,5.484301727,6.16739724,4.829486767
"ASS1",13.39444557,12.95109381,13.65138404,12.43339971,12.8569246,12.7969772,13.07163284,12.6100083,13.66440172,13.03918142,13.74239459,12.83143157,13.21338832
"ASXL2",8.810862423,8.525025527,8.328589957,8.400538415,8.552696076,8.246896031,8.608303488,7.962732204,8.22552518,8.304984056,8.641108792,8.664167485,8.183286356
"ATAD2",6.612395047,7.394659839,7.319140496,6.769813242,7.426191487,7.307761389,6.833162427,5.859082253,6.203710602,6.4869917,6.934262106,6.28361614,6.846561819
"ATF2",6.481015801,6.251082647,6.778659056,6.094341761,6.032902392,6.438230764,5.882172772,6.441071958,6.793945759,6.213926901,6.510626127,6.345661329,6.134741991
"ATF5",11.846383,12.99807146,12.63221037,12.58696283,12.05389371,12.62234706,12.01531023,12.50904872,11.51023027,12.73148292,12.54488151,11.87186683,12.59005771
"ATG12",9.241300377,9.431400475,9.292916079,9.507408663,9.554340771,9.487336531,10.06221896,9.961129021,9.603433501,9.83995168,9.755059601,10.23222608,9.437937111
"ATIC",10.45917191,10.51876191,10.2439689,10.1800848,10.67957241,10.30324346,10.43643651,10.73298877,10.59585088,10.12391645,10.26795102,10.72950544,10.73665252
"ATOH8",7.943492742,7.740267098,7.419882902,6.665811701,8.380872186,7.550422777,7.416350619,8.073927876,6.383704439,7.124222172,7.421887521,7.445702756,7.907804946
"ATP6AP1",11.07327533,10.9108849,11.02007643,11.28806027,11.07041978,11.20279794,11.15307588,11.25282947,10.74853378,11.25144916,10.99880057,11.58252047,10.64624966
"ATP6V1C2",4.642265174,4.479837548,4.707781388,4.509725957,4.558469438,4.496357583,4.604560622,4.527357885,4.519289206,4.743550883,4.484674018,4.56212262,4.455876608
"ATP6V1F",10.1773689,10.30405741,10.41369053,11.13372346,10.2766219,10.70136556,10.66000064,11.02130437,10.54498964,10.68076519,10.46102591,11.03148316,10.44175051
"ATP6V1H",7.782442191,7.907014607,7.646066092,8.176925957,8.037011359,8.128106464,7.611597458,8.022202596,7.574195465,7.934432298,7.920819745,8.134468054,8.037011359
"AURKA",6.323233451,6.853782982,8.119952153,5.591885088,7.174238026,6.070158335,5.955933546,6.658335472,5.251616983,5.982256683,7.190877222,7.231558452,6.420204687
"AURKB",4.941124882,4.991259169,4.609386724,4.82596764,4.890210569,5.0194008,5.017360943,5.761209925,4.71896465,4.575236895,4.743598592,5.934731518,4.876110169
"AVL9",5.718326915,6.309932289,5.68232364,5.693887491,5.937768933,6.299858309,4.684821358,5.972101296,5.751986245,6.061120815,6.067309853,5.943649307,5.979641445
"AVPR1A",6.786876538,7.141267543,6.024310501,5.10715857,5.904131495,7.707901527,5.648026112,6.382299125,7.502880318,7.638899331,5.642315369,5.568267746,6.717932967
"AXIN1",7.349267877,7.657632871,7.79768879,8.22804859,7.328520456,7.78996311,8.159681667,7.432919188,8.311339715,7.837181146,7.320531832,7.559876267,7.663124823
"AXIN2",6.11832725,5.869941309,7.121881864,6.848944674,7.387883897,6.457780043,5.959003644,6.846561819,5.496191374,6.54132769,5.434283183,6.519050677,6.336915152
"AXL",9.753053063,9.408827077,9.605318931,10.34983901,8.887723147,10.02831153,9.301758726,9.647733854,8.768301183,9.845951639,9.210924301,10.28186205,9.770747233
"B3GALNT2",5.253221676,5.310128657,5.475690439,5.626391748,4.827540335,5.110311687,4.589796873,6.606502147,5.927218427,5.573070991,5.249652793,5.508756877,5.212297095
